gene_set,gene,group,x,y,zscore,positive_mean_expression,x_plot,y_plot
LPS,Gzmc,IFNg,3,13,-0.2459127821074403,0.7910258173942566,3.3600000000000003,18.98
LPS,Gzmc,Multiple,4,13,0.16387908399215867,0.7490419745445251,4.48,18.98
LPS,Gzmc,OTI no interaction,5,13,-0.8136064994902866,1.4346524477005005,5.6000000000000005,18.98
LPS,Gzmc,C57BL/6,6,13,-1.8823972021912863,1.5900816917419434,6.720000000000001,18.98
LPS,Cx3cr1,no_treatment,0,14,-1.0876698731629397,0.4752066433429718,0.0,20.439999999999998
LPS,Cx3cr1,LPS,1,14,1.5339730561881872,0.6751912832260132,1.12,20.439999999999998
LPS,Cx3cr1,PolyIC,2,14,0.06415908236409622,0.6334467530250549,2.24,20.439999999999998
LPS,Cx3cr1,IFNg,3,14,-0.5837721832858431,0.5200044512748718,3.3600000000000003,20.439999999999998
LPS,Cx3cr1,Multiple,4,14,0.23910893776649403,0.5017661452293396,4.48,20.439999999999998
LPS,Cx3cr1,OTI no interaction,5,14,1.1516199954717667,1.2314871549606323,5.6000000000000005,20.439999999999998
LPS,Cx3cr1,C57BL/6,6,14,-1.3174190153417593,1.4437487125396729,6.720000000000001,20.439999999999998
LPS,Cd38,no_treatment,0,15,0.7276227368912084,0.6759380102157593,0.0,21.9
LPS,Cd38,LPS,1,15,1.2136271399197105,0.5724748373031616,1.12,21.9
LPS,Cd38,PolyIC,2,15,0.09407440811399713,0.4543544352054596,2.24,21.9
LPS,Cd38,IFNg,3,15,-0.45947162501587663,0.5712621212005615,3.3600000000000003,21.9
LPS,Cd38,Multiple,4,15,1.0381360988148278,0.4307354986667633,4.48,21.9
LPS,Cd38,OTI no interaction,5,15,-0.9304874242318358,1.0920906066894531,5.6000000000000005,21.9
LPS,Cd38,C57BL/6,6,15,-1.6835013344920324,0.7864087820053101,6.720000000000001,21.9
LPS,Nfkbia,no_treatment,0,16,0.3015133223529814,1.2446507215499878,0.0,23.36
LPS,Nfkbia,LPS,1,16,0.9927155954556487,1.2646610736846924,1.12,23.36
LPS,Nfkbia,PolyIC,2,16,-0.18078067763054942,1.2306715250015259,2.24,23.36
LPS,Nfkbia,IFNg,3,16,-0.35234771319781333,1.1949756145477295,3.3600000000000003,23.36
LPS,Nfkbia,Multiple,4,16,0.5356996197976347,1.1303924322128296,4.48,23.36
LPS,Nfkbia,OTI no interaction,5,16,-2.1713832488688345,1.6058986186981201,5.6000000000000005,23.36
LPS,Nfkbia,C57BL/6,6,16,0.8745831020909383,1.8518438339233398,6.720000000000001,23.36
PolyIC,Il17a,no_treatment,0,18,-0.5669044061084644,0.0,0.0,26.28
PolyIC,Il17a,LPS,1,18,-0.5669044061084644,0.0,1.12,26.28
PolyIC,Il17a,PolyIC,2,18,2.2466702631274784,1.1463267803192139,2.24,26.28
PolyIC,Il17a,IFNg,3,18,-0.5669044061084644,0.0,3.3600000000000003,26.28
PolyIC,Il17a,Multiple,4,18,0.5878517674148437,0.6540130376815796,4.48,26.28
PolyIC,Il17a,OTI no interaction,5,18,-0.5669044061084644,0.0,5.6000000000000005,26.28
PolyIC,Il17a,C57BL/6,6,18,-0.5669044061084644,0.0,6.720000000000001,26.28
PolyIC,Ccr6,no_treatment,0,19,-1.1334017459503802,0.0,0.0,27.74
PolyIC,Ccr6,LPS,1,19,-1.1334017459503802,0.0,1.12,27.74
PolyIC,Ccr6,PolyIC,2,19,0.8882359865440139,0.6505038738250732,2.24,27.74
