gene,no_treatment,LPS,PolyIC,IFNg,Multiple,OTI no interaction,C57BL/6
Zap70,0.5575234715832538,0.437288278524883,0.6942861035937707,0.47667366676190803,0.8213138834233801,-0.9222286632096988,-2.064856740677497
Lat,0.5591454086612175,0.3296885942074754,0.519160056993813,0.5707276428813474,1.1063239820075432,-1.5612103252080156,-1.5238353595433847
Lcp2,0.7574834531611369,0.7252318194417595,0.22474476414965355,0.2189002111823247,0.2688354290178088,0.19083446413735097,-2.3860301410900377
Themis,-0.6478398198779571,-0.5015747863053116,-0.5294505712332843,-0.5132613236190166,-0.932679939273493,1.6906055875257529,1.4342008527833117
Ptpn6,0.5543627553868338,0.553873880734065,0.45107694717912733,0.532641548831918,0.8593218004841813,-0.8411006405724348,-2.110176292043692
Ptpn22,0.5631622457866313,-0.10232188633665916,-0.48080556462425733,-0.16902373279139826,-1.503655007630551,2.012326980939688,-0.31968303534345693
Sell,-0.5205696993401375,-0.5712941895249461,-0.49064039728442627,-0.5194390155832624,-0.8011872249595741,0.7318080647571236,2.1713224619352225
Ccr7,-0.4464364224560212,-0.6281624007211787,0.3834214627344508,-0.6306472229601733,0.9087373520347256,-1.36671009490572,1.7797973262739168
Tcf7,-0.8119350838846471,-0.6539993074863885,-0.6575787100304021,-0.30136316682720105,-0.1792194364759673,0.3103220885652775,2.2937736161393323
Lef1,-0.4789617109613877,-0.623193064390922,-0.41718633698055946,-0.5495518077737029,-0.717775423375119,0.5249412111364417,2.2617271323452495
Il7r,-0.6231672234569567,-0.46700427537758826,-0.5088212722244938,-0.43714075574821115,-0.6861162365135549,0.4210448015538943,2.301204961766911
Bcl2,-0.48540929698550894,-0.4903666125689563,-0.48925715824454913,-0.454471195631724,-1.0353699666860456,0.9115882221083266,2.043286008008457
Klf2,-0.5763376903795198,-0.49027016816815955,-0.505576804955875,-0.5232588307167829,-0.7807430547148788,0.679055044338048,2.1971315045971673
S1pr1,-0.5869562259565281,-0.5826165038241089,-0.5024486151242155,-0.4807446388313924,-0.7709639545321031,0.7676076016809444,2.156122336587403
S1pr5,1.6170374761296937,-0.7219943749462081,-0.7219943749462081,-0.7219943749462081,-0.22837083552568782,-0.7219943749462081,1.4993108591808264
Satb1,0.001218251702870925,-0.08989826358825875,-0.1799462886151674,-1.0553837983165741,-1.4043693507709285,1.6393448680124956,1.0890345815755555
Ltb,-0.4085190388298523,-0.461064282273533,-0.5232219031875143,-0.4903357337503301,-0.8852659229925439,0.52089366214412,2.247513218889654
Cd27,1.157528170658951,0.8621138080194283,0.35186410731109513,0.25731231781370417,0.37057343181913527,-1.2859554477644635,-1.7134363878578551
Cd28,0.5046381210510275,0.547666220851319,0.5255898717359198,0.4699013875912715,0.7363704090338309,-0.5173491929535523,-2.2668168173098144
Cd44,0.21657242612920227,0.5802532971689051,0.2926802495815184,0.5156971461076532,1.0041787914918936,-0.34240586294199554,-2.2669760475371756
Ly6a,-0.37800591944366263,-0.3282691222325035,-0.497147887921733,-0.4530461465935726,-0.9957819343388676,0.38057151350672425,2.2716794970236167
Ly6c2,-0.3630634956332448,-0.5035706394917764,-0.5311643017040573,-0.6020076923682475,-0.7884241428539585,0.5393268353106287,2.248903436740656
Cxcr5,0.17063691122439148,0.7853052510951966,0.630415782103907,0.5004553493012508,0.9582716260850409,-1.2470941903749906,-1.7979907294347957
Bach2,-0.05338031006394231,-0.14203863712590603,-0.3841570773172446,-0.6037962700286869,-1.3037735171320195,2.1579186949323876,0.3292271167354161
Cd69,0.8394256934661721,0.6484717883131751,0.34457030270610345,0.35887800769595024,0.1244659571152579,0.05253679715094337,-2.3683485464476
Il2ra,0.626486024548846,0.6252369715523571,0.4825544988186101,0.40972654519230833,0.48875823300226484,-0.2889435227360401,-2.343818750378345
Il2rb,0.3795792812425701,0.6250247463085263,0.637305546590329,0.4871062852095665,0.7584241172043241,-0.7095637405054862,-2.1778762360498307
Icos,0.5475772404878713,0.8346462635348835,0.6967931903392761,0.4251041915136912,0.3403444784151845,-0.6554326794041077,-2.1890326848867967
Cd40lg,0.043294667858781055,0.36596442671593227,-0.03364118800734253,1.1265489748796877,0.9584627324483173,-0.32258372620331144,-2.1380458876920643
Tnfrsf4,0.4288562747806649,0.03554221638088608,0.18583862087218206,0.6109453634756383,1.5301890508429519,-1.1044188873637615,-1.686952638988561
Tnfrsf9,0.530633114687263,0.5629259748817089,0.5493414059489284,0.47823841674913015,0.7898676893389326,-0.744804983337076,-2.166201618268887
Tnfrsf18,0.48616798436997727,0.686584952764825,0.45973276907529376,0.2374967944788523,1.1679828186331886,-1.6701156175769811,-1.3678497017451594
Tnfrsf25,-0.6251391010912111,-0.37459246295821136,-0.4258311922901269,-0.5351939462991314,-0.8533327434681507,0.5966774143348641,2.217412031771967
Cd226,-1.7255895980773777,0.2331680275418546,-1.2500698997416422,1.084027231245383,0.6872668392409788,0.10728962346627396,0.8639077763245138
Nfkbia,0.3015133223529814,0.9927155954556487,-0.18078067763054942,-0.35234771319781333,0.5356996197976347,-2.1713832488688345,0.8745831020909383
Nfkbiz,0.04181132511484509,-0.6428493753151703,-0.5848514400066143,-0.7504927244230257,-1.070520841781826,1.4229590147628155,1.5839440416489774
Nfkbid,0.527601351427148,0.7683305193206744,0.4005519336187105,0.5498807820857924,0.7104220835616557,-0.8489089991330022,-2.107877670880979
Rel,0.4501673986204014,0.8743666405179246,0.35955403355023297,0.3382066067722458,0.39785103362139057,-0.047676323934126436,-2.372469389148071
Rela,1.3827043578147893,0.6884961235299971,0.43637628541615164,0.09154633023764067,0.30016210170298807,-1.2023855117811293,-1.696899686920431
