t_cell_type,PeptideBC_Name,AssignedTreatment,peptide_order,treatment_order,qualifying_cells,dc_supported_unique_dcbc,dc_supported_total_dcbc_umi,qualifying_cells_per_dc_supported_unique_dcbc,geomean_supported_condition_umi,geomean_condition_umi_per_10k_dc_dcbc_umi,cell_condition_min_umi
OTI,CATNB,PolyIC,12,2,380,669,583632,0.5680119581464873,9.272383409253267,0.15887380077263186,2
OTI,CATNB,IFNg,12,3,302,719,581193,0.4200278164116829,11.902038438984395,0.20478633498656032,2
OTI,LCMV,no_treatment,13,0,298,651,686682,0.4577572964669739,8.685670763207192,0.1264875264417473,2
OTI,LCMV,LPS,13,1,97,310,140172,0.31290322580645163,10.379224040606484,0.7404634335392578,2
OTI,LCMV,PolyIC,13,2,312,651,609797,0.4792626728110599,9.05838740669674,0.14854758889756328,2
OTI,LCMV,IFNg,13,3,268,613,463184,0.4371941272430669,13.008145947217598,0.2808418673187674,2
OTI,TB,no_treatment,14,0,256,667,579415,0.383808095952024,9.463516071643273,0.1633288070147178,2
OTI,TB,LPS,14,1,169,382,131911,0.4424083769633508,9.760638991333446,0.7399412476088761,2
OTI,TB,PolyIC,14,2,309,681,617348,0.45374449339207046,8.807261858210948,0.1426628394068005,2
OTI,TB,IFNg,14,3,310,710,571150,0.43661971830985913,12.08694076416612,0.21162463038021748,2
OTI,MCMV,no_treatment,15,0,155,329,381531,0.47112462006079026,9.799372389644098,0.25684341219046675,2
OTI,MCMV,LPS,15,1,89,213,116526,0.41784037558685444,9.809950394340186,0.8418679431491845,2
OTI,MCMV,PolyIC,15,2,196,360,408679,0.5444444444444444,9.16635222845886,0.22429222515614602,2
OTI,MCMV,IFNg,15,3,167,374,371613,0.446524064171123,11.48039105361371,0.3089340538036535,2
C57BL6,N4,no_treatment,0,0,37,536,201782,0.06902985074626866,7.004552304697176,0.34713464554307005,2
C57BL6,N4,LPS,0,1,19,377,31504,0.050397877984084884,7.327974338965843,2.326045689108,2
C57BL6,N4,PolyIC,0,2,42,552,160621,0.07608695652173914,7.317418833947505,0.455570494141333,2
C57BL6,N4,IFNg,0,3,26,543,120369,0.04788213627992634,10.459880605873716,0.8689845895432974,2
C57BL6,A2,no_treatment,1,0,31,484,264348,0.0640495867768595,4.954583520071739,0.18742655590629545,2
C57BL6,A2,LPS,1,1,10,262,26704,0.03816793893129771,4.399742362542397,1.6475967505026952,2
C57BL6,A2,PolyIC,1,2,37,552,300031,0.06702898550724638,5.418062737025585,0.1805834309463217,2
C57BL6,A2,IFNg,1,3,34,427,211587,0.07962529274004684,7.7776363286001455,0.3675857367702243,2
C57BL6,Y3,no_treatment,2,0,38,529,416656,0.07183364839319471,6.117137174683975,0.14681505065771225,2
C57BL6,Y3,LPS,2,1,20,257,40203,0.07782101167315175,5.622786287823091,1.3985986836363187,2
C57BL6,Y3,PolyIC,2,2,63,613,438773,0.10277324632952692,6.281415789490558,0.14315866722634615,2
C57BL6,Y3,IFNg,2,3,37,498,287260,0.07429718875502007,10.846788448792346,0.37759480779754734,2
C57BL6,Q4,no_treatment,3,0,48,673,516729,0.0713224368499257,4.8379782209269875,0.09362699250336225,2
C57BL6,Q4,LPS,3,1,35,645,181153,0.05426356589147287,7.771080951406247,0.4289788715288318,2
C57BL6,Q4,PolyIC,3,2,65,877,618991,0.07411630558722919,7.554695228381462,0.12204854720636425,2
C57BL6,Q4,IFNg,3,3,51,775,465036,0.06580645161290323,8.651455452158869,0.1860384024496785,2
C57BL6,T4,no_treatment,4,0,47,780,696403,0.06025641025641026,6.0846728529111225,0.08737286963024458,2
C57BL6,T4,LPS,4,1,26,464,163524,0.05603448275862069,10.128294348255768,0.6193766265658721,2
C57BL6,T4,PolyIC,4,2,42,790,734073,0.053164556962025315,5.9732549698781305,0.08137140270624489,2
C57BL6,T4,IFNg,4,3,72,765,556701,0.09411764705882353,8.27021378458568,0.14855755216149566,2
C57BL6,V4,no_treatment,5,0,44,688,672663,0.06395348837209303,7.213894008770414,0.1072438057209987,2
C57BL6,V4,LPS,5,1,22,527,202387,0.04174573055028463,5.419535568151904,0.2677808143878759,2
C57BL6,V4,PolyIC,5,2,53,782,777744,0.06777493606138107,5.444237326059113,0.07000037706570689,2
C57BL6,V4,IFNg,5,3,60,729,446801,0.0823045267489712,6.518283830454065,0.1458878523202514,2
C57BL6,G4,no_treatment,6,0,15,518,435436,0.02895752895752896,4.129885248727547,0.0948448279133454,2
C57BL6,G4,LPS,6,1,23,385,141055,0.05974025974025974,6.788473230189192,0.4812642749416321,2
C57BL6,G4,PolyIC,6,2,28,547,507210,0.051188299817184646,4.74979464503473,0.09364552443829441,2
C57BL6,G4,IFNg,6,3,27,478,337360,0.056485355648535567,9.019350415183323,0.2673509134213696,2
C57BL6,D4,no_treatment,7,0,43,725,666625,0.05931034482758621,5.08624031375343,0.07629837335463611,2
C57BL6,D4,LPS,7,1,33,521,199131,0.06333973128598848,9.767839920265098,0.4905233198379508,2
C57BL6,D4,PolyIC,7,2,44,807,669602,0.05452292441140025,5.952028410794383,0.08888904768495887,2
C57BL6,D4,IFNg,7,3,62,787,607747,0.07878017789072427,11.428224095558559,0.18804246002956096,2
C57BL6,Q4R7,no_treatment,8,0,32,393,322576,0.08142493638676845,5.835928136700726,0.18091637743355754,2
C57BL6,Q4R7,LPS,8,1,16,251,77480,0.06374501992031872,4.347117437492957,0.5610631695267111,2
C57BL6,Q4R7,PolyIC,8,2,22,406,333329,0.054187192118226604,6.233841580671487,0.18701767864996705,2
C57BL6,Q4R7,IFNg,8,3,24,344,219947,0.06976744186046512,7.433627420386322,0.3379735763791423,2
C57BL6,Q4H7,no_treatment,9,0,50,848,781077,0.0589622641509434,7.609776550892313,0.09742671402297486,2
C57BL6,Q4H7,LPS,9,1,30,552,232310,0.05434782608695652,6.503962878262293,0.27996913082787195,2
C57BL6,Q4H7,PolyIC,9,2,62,898,916087,0.06904231625835189,6.937187435689706,0.07572629494458175,2
C57BL6,Q4H7,IFNg,9,3,80,872,653489,0.09174311926605505,7.771755045403762,0.11892709816697393,2
C57BL6,Q7,no_treatment,10,0,39,519,471695,0.07514450867052024,7.602237079857665,0.1611684898050152,2
C57BL6,Q7,LPS,10,1,15,330,138411,0.045454545454545456,5.881728301917198,0.4249465939785998,2
C57BL6,Q7,PolyIC,10,2,29,618,523211,0.04692556634304207,6.286829237726339,0.12015858301385748,2
C57BL6,Q7,IFNg,10,3,41,545,346504,0.07522935779816514,7.544714947849559,0.21773817756359404,2
C57BL6,E1,no_treatment,11,0,35,670,613772,0.05223880597014925,5.642388675229124,0.09192971779796283,2
C57BL6,E1,LPS,11,1,20,383,177488,0.05221932114882506,6.749800658422508,0.3802961697930287,2
C57BL6,E1,PolyIC,11,2,42,769,707182,0.054616384915474644,7.270184634853307,0.10280500118573871,2
C57BL6,E1,IFNg,11,3,42,773,553309,0.054333764553686936,8.925728632985567,0.1613154427812591,2
C57BL6,CATNB,no_treatment,12,0,32,654,633233,0.04892966360856269,7.636564042250852,0.1205964319966087,2
C57BL6,CATNB,LPS,12,1,14,360,117236,0.03888888888888889,8.675176783159579,0.7399755009689497,2
C57BL6,CATNB,PolyIC,12,2,31,669,583632,0.04633781763826607,5.4752402771652235,0.09381322952074636,2
C57BL6,CATNB,IFNg,12,3,57,719,581193,0.07927677329624479,9.052561224135843,0.1557582631610471,2
C57BL6,LCMV,no_treatment,13,0,31,651,686682,0.047619047619047616,5.549112658771579,0.08081051576670975,2
C57BL6,LCMV,LPS,13,1,17,310,140172,0.054838709677419356,8.490781278541366,0.6057401819579779,2
C57BL6,LCMV,PolyIC,13,2,34,651,609797,0.05222734254992319,8.107495541686715,0.13295400832878343,2
C57BL6,LCMV,IFNg,13,3,26,613,463184,0.04241435562805873,9.056269779231856,0.19552207717088363,2
C57BL6,TB,no_treatment,14,0,31,667,579415,0.046476761619190406,5.116841216201482,0.08831047204855727,2
C57BL6,TB,LPS,14,1,23,382,131911,0.060209424083769635,8.364998728503835,0.6341395887002474,2
C57BL6,TB,PolyIC,14,2,38,681,617348,0.055800293685756244,5.735709459347833,0.09290885301884565,2
C57BL6,TB,IFNg,14,3,47,710,571150,0.06619718309859154,9.514815647412279,0.1665904866919772,2
C57BL6,MCMV,no_treatment,15,0,10,329,381531,0.030395136778115502,6.900915038564314,0.18087429431853017,2
C57BL6,MCMV,LPS,15,1,14,213,116526,0.06572769953051644,5.826962405165151,0.5000568461257703,2
C57BL6,MCMV,PolyIC,15,2,19,360,408679,0.05277777777777778,4.850897625147978,0.11869701220635212,2
C57BL6,MCMV,IFNg,15,3,19,374,371613,0.05080213903743316,12.4636825837635,0.3353941488527985,2
