contrast,treatment,control,gene,total_counts,pct_treatment,pct_control,mean_norm_treatment,mean_norm_control,mean_log1p_treatment,mean_log1p_control,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_treatment_cells,n_control_cells,neglog10_padj,in_top_gene_heatmap,sig
LPS_vs_no_treatment,LPS,no_treatment,Tubd1,296,0.05847373637264618,0.04618226600985217,0.09435466143289825,0.08270077860076366,0.05458224771330311,0.04501461103058807,0.009567636682715042,0.08920892772543028,1.2336536009190817,1403.7650132960914,0.04434065846586,0.21753852344330402,True,0.4061549403982807,1009,4872,0.39130825971472244,False,False
LPS_vs_no_treatment,LPS,no_treatment,Vmp1,4084,0.5044598612487652,0.4720853858784822,1.2819850291009416,1.1649751679966176,0.6004755177685869,0.5543777759840102,0.04609774178457671,0.12763292276948032,2.0636059093479826,1432.4653298465423,0.07257406670639022,0.039234884546802025,True,0.12489629733716263,1009,4872,0.9034504364847465,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ptrh2,2870,0.3607532210109029,0.3737684729064036,0.77033654910954,0.8395276808700615,0.38301951682409824,0.42012742007285037,-0.03710790324875213,-0.11036228533858694,-1.939077691769454,1502.811807906799,-0.06502789983579874,0.052678860222074575,True,0.15481887992502225,1009,4872,0.8101760788774119,False,False
LPS_vs_no_treatment,LPS,no_treatment,Cltc,8210,0.6848364717542199,0.6945812807882075,2.2333864846259126,2.3525086774287844,0.9286415270350448,0.9642254473317102,-0.03558392029666546,-0.07183295668173456,-1.4319047842290407,1466.9330833730023,-0.04915191161513899,0.15238410130683297,True,0.31984314946523584,1009,4872,0.4950629467482239,False,False
LPS_vs_no_treatment,LPS,no_treatment,Dhx40,764,0.13577799801783894,0.11453201970443337,0.21966489898101377,0.2093917700427787,0.12700396611966952,0.1150126815919132,0.011991284527756316,0.047125515742657186,1.0456550506228461,1453.2587613725434,0.03623189216426964,0.295894211793134,True,0.4960678855366613,1009,4872,0.30445888742795996,False,False
LPS_vs_no_treatment,LPS,no_treatment,Gdpd1,677,0.1367690782953414,0.09729064039408857,0.23703704124634103,0.18209032160240735,0.13307159071665106,0.09931182266709589,0.033759768049555175,0.2567499875269325,2.85676346416797,1366.628103274433,0.10587355131469697,0.004344636354659161,True,0.02344031079212557,1009,4872,1.6300366343599906,False,False
LPS_vs_no_treatment,LPS,no_treatment,Smg8,716,0.11793855302279446,0.11268472906403929,0.20572659581521638,0.21294915959758237,0.11448808620494294,0.11437789057066085,0.00011019563428209256,-0.033686241199627896,0.009744103930085103,1483.031015553269,0.00033092376497480334,0.9922267635009802,True,0.9951060687003156,1009,4872,0.0021306251878246956,False,False
LPS_vs_no_treatment,LPS,no_treatment,Prr11,988,0.14568880079286364,0.14470443349753812,0.23917336206074297,0.25996051927702085,0.13691734056655064,0.14346586497229796,-0.006548524405747325,-0.0858158112100844,-0.5440504854490775,1505.573587180972,-0.018213641851172684,0.5864872883649032,True,0.748323722360971,1009,4872,0.12591048713408423,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ska2,1181,0.15163528245787847,0.1822660098522204,0.2602815706979626,0.35007626236171335,0.1457566216546586,0.18710755797833692,-0.04135093632367831,-0.32104462082019136,-3.239640106681925,1612.805131590338,-0.10215283470915154,0.0012211772215984227,True,0.008579606697610475,1009,4872,2.0665326204231484,False,False
LPS_vs_no_treatment,LPS,no_treatment,Trim37,2394,0.34093161546085293,0.3101395730706116,0.7215446229627963,0.6944642914531992,0.3651245101507469,0.3456648936248878,0.01945961652585909,0.048356561978604544,1.0345930061432724,1458.4892544283396,0.03571887913510562,0.3010305319023501,True,0.5017175531705835,1009,4872,0.2995407044102219,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ppm1e,1080,0.1536174430128834,0.15435139573070789,0.28202593013373173,0.3246920961094946,0.15216061391674782,0.16327108292161815,-0.011110469004870338,-0.15274669414391812,-0.8407111691539794,1528.4991076598546,-0.027756757741466093,0.4006412547706005,True,0.5998459557225934,1009,4872,0.221960264898289,False,False
LPS_vs_no_treatment,LPS,no_treatment,Tex14,568,0.09217046580773022,0.08784893267651879,0.1795346894377453,0.17895918786835985,0.09038033180824724,0.09025163776029681,0.00012869404795043393,0.0029732592881831594,0.012158075153803684,1460.775445257726,0.00041909349508187686,0.9903011587167502,True,0.9947373653227507,1009,4872,0.0022915683468996135,False,False
LPS_vs_no_treatment,LPS,no_treatment,Supt4a,3633,0.45490584737364026,0.434523809523805,0.996332089160231,1.0152538843057302,0.5051401089415419,0.4986432874692081,0.006496821472333825,-0.02468730265745186,0.3168017413786344,1482.990345468442,0.010759327441214682,0.7514386322495188,True,0.8589867723673217,1009,4872,0.06601352386621073,False,False
LPS_vs_no_treatment,LPS,no_treatment,Mir142hg,4192,0.5034687809712627,0.46264367816091306,1.2899121084376486,1.212942532691101,0.6025873502970599,0.5569140424294451,0.04567330786761481,0.082189885469287,2.0224308522820538,1452.9446382283422,0.07009247726012924,0.04331476239604225,True,0.1338198185604042,1009,4872,0.8734795632943452,False,False
LPS_vs_no_treatment,LPS,no_treatment,Dynll2,4484,0.4905847373637302,0.49938423645319296,1.1940693924294028,1.2728077413582168,0.5740832223398692,0.6001815834684945,-0.02609836112862529,-0.08521461178057763,-1.1884561449638855,1479.9473924349638,-0.04044317500457221,0.23484442013545073,True,0.4263292401961882,1009,4872,0.37025487983149136,False,False
LPS_vs_no_treatment,LPS,no_treatment,Srsf1,4899,0.5123885034687852,0.5387931034482746,1.22417041203811,1.429188506784304,0.5913847142413978,0.6600798540149732,-0.06869513977357533,-0.20767746271302506,-3.1318899299467433,1513.6181748829008,-0.10433094522098227,0.0017701026059417817,True,0.011570715252648396,1009,4872,1.9366397939715656,False,False
LPS_vs_no_treatment,LPS,no_treatment,Vezf1,1085,0.1645193260654106,0.16256157635468216,0.28770207926619346,0.31976617872679997,0.1605263771250266,0.16864272280193662,-0.008116345676910025,-0.11463745856796742,-0.6163892020972801,1517.2436496958467,-0.020488215429383578,0.5377301452469888,True,0.7116882750335956,1009,4872,0.14771018905596828,False,False
LPS_vs_no_treatment,LPS,no_treatment,Cuedc1,476,0.09811694747274505,0.06958128078817727,0.17095470354737222,0.13191882477377403,0.09546557981229781,0.07002688251629006,0.025438697296007742,0.22443176350958335,2.489111983063459,1358.490106873999,0.09290806329231108,0.012925201071712062,True,0.05423119145970856,1009,4872,1.2657508540065021,False,False
LPS_vs_no_treatment,LPS,no_treatment,Mrps23,4335,0.4816650148662077,0.49774220032839833,1.075732355319853,1.2375658734144663,0.5400778519151234,0.5909165668346641,-0.05083871491954073,-0.18605026289172283,-2.421559214961339,1519.067891875683,-0.08040168077573588,0.015570550946226065,True,0.06263074512632276,1009,4872,1.2032124214086186,False,False
LPS_vs_no_treatment,LPS,no_treatment,Msi2,2090,0.32606541129831546,0.2721674876847357,0.7029958950216497,0.609076053731926,0.35230452690423886,0.2997739584267149,0.052530568477523965,0.17945223694893073,2.8182980607209314,1419.3574212530566,0.10008679211812854,0.004894876152403628,True,0.02583895954551196,1009,4872,1.5877249780121034,False,False
LPS_vs_no_treatment,LPS,no_treatment,Akap1,929,0.13875123885034635,0.1424466338259452,0.24521648070596355,0.273022511463592,0.1356036187384139,0.1464140283394828,-0.01081040960106891,-0.11176135731283085,-0.8755092733057999,1509.4060682507252,-0.029240787672485304,0.381436163299094,True,0.5817701266356079,1009,4872,0.23524858314121644,False,False
LPS_vs_no_treatment,LPS,no_treatment,Scpep1,2731,0.39742319127849535,0.34523809523809684,0.8694970760169586,0.7638971528045302,0.4363997577056577,0.38312570023443493,0.05327405747122277,0.16637697783324729,2.6886685425319823,1429.6440621374109,0.09475282991543316,0.007257111331755184,True,0.034822269905234,1009,4872,1.4581429226159672,False,False
LPS_vs_no_treatment,LPS,no_treatment,Coil,715,0.1199207135777994,0.1094006568144498,0.21906287594480758,0.19879107652689662,0.11662044219279558,0.10953264593730451,0.007087796255491066,0.09470369357901554,0.6170976571741779,1425.6551780884517,0.02181183087141432,0.5372688530030262,True,0.7112693205069381,1009,4872,0.14796592351344393,False,False
LPS_vs_no_treatment,LPS,no_treatment,Trim25,3225,0.4350842418235903,0.3881362889983566,1.0803712598604887,0.9112777893041522,0.4995383001897315,0.4447779762697661,0.05476032391996538,0.22306135141884403,2.547455186664385,1409.4512301669583,0.09115670451280586,0.010956628603138866,True,0.04804437990569607,1009,4872,1.3183574075520623,False,False
