comparison,peptide_group,reference,gene,total_counts,pct_group,pct_reference,pct_delta,detection_log2_odds_ratio,mean_norm_group,mean_norm_reference,mean_log1p_group,mean_log1p_reference,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_group_cells,n_reference_cells,is_sig_0p25,is_sig_0p5,gene_program,gene_order,peptide_order,is_sig_abs0p5_fdr0p05,plot_size,x,y,gene_centered_log2fc_z,percent_detected
MCMV_vs_no_interaction,MCMV,no_interaction,Ifit3,1778,0.18181818181818185,0.2897897897897899,-0.10797160797160807,-0.845741251715953,0.9737550333748407,1.948322774112673,0.2902778670839405,0.5388596752332336,-0.24858180814929315,-0.9317781785091669,-3.0602286464529986,83.57886258003136,-0.2766699185158402,0.0029729059069651806,True,0.02308197125051607,77,2664,True,True,IFN_stress,15,16,True,18.090909090909093,16,16,0.9992169833025074,18.181818181818183
multi_peptide_vs_no_interaction,multi_peptide,no_interaction,Gbp2,28242,0.39118825100132626,0.583333333333316,-0.1921450823319898,-1.1009546630555007,1.8049590652086034,12.785852379963536,0.4654161671958959,1.592703267596487,-1.127287100400591,-2.7579560707320887,-36.02166109180317,3145.3590070591895,-1.0848513408368732,3.3185091211999506e-238,True,7.958686196102499e-237,8239,2664,True,True,IFN_stress,16,0,True,33.16555407209549,0,15,-2.114362983658321,39.118825100132625
N4_vs_no_interaction,N4,no_interaction,Gbp2,13652,0.40128755364806723,0.583333333333316,-0.18204577968524882,-1.0413468821155014,2.6265524448864817,12.785852379963536,0.5627516755915358,1.592703267596487,-1.0299515920049511,-2.2406381615938145,-19.359534639912546,963.1245668603418,-0.6983845176060643,8.787346151589323e-71,True,1.57376395605445e-68,466,2664,True,True,IFN_stress,16,1,True,33.89270386266084,1,15,-1.326173470451729,40.12875536480672
A2_vs_no_interaction,A2,no_interaction,Gbp2,13419,0.35342465753424573,0.583333333333316,-0.22990867579907032,-1.3290376953565697,2.8574328000277958,12.785852379963536,0.537471165794629,1.592703267596487,-1.055232101801858,-2.1233706799287755,-17.834431670822756,648.8845334779535,-0.7076733469258125,3.390713768829595e-58,True,7.115224470901748e-56,365,2664,True,True,IFN_stress,16,2,True,30.446575342465692,2,15,-1.1475038407022116,35.34246575342458
Y3_vs_no_interaction,Y3,no_interaction,Gbp2,13557,0.3875968992248071,0.583333333333316,-0.19573643410850894,-1.1222761730624036,3.502010671578258,12.785852379963536,0.6531489882865522,1.592703267596487,-0.9395542793099347,-1.8389136118883505,-15.176839705907339,650.4136412882448,-0.6280799295642797,9.264832922282993e-45,True,1.903318937295093e-42,387,2664,True,True,IFN_stress,16,3,True,32.90697674418611,3,15,-0.7141028815890238,38.75968992248071
Q4_vs_no_interaction,Q4,no_interaction,Gbp2,13704,0.40862422997946446,0.583333333333316,-0.1747091033538516,-0.9983443553168903,3.5044156175367838,12.785852379963536,0.6295079389050801,1.592703267596487,-0.9631953286914069,-1.8379506925167846,-17.193895348239987,928.0541313422664,-0.6500049735802772,9.93649614433199e-58,True,6.414484668515685e-56,487,2664,True,True,IFN_stress,16,4,True,34.42094455852144,4,15,-0.7126357702879749,40.862422997946446
Q4R7_vs_no_interaction,Q4R7,no_interaction,Gbp2,13400,0.46255506607929436,0.583333333333316,-0.12077826725402169,-0.6879648319361904,5.223190865660805,12.785852379963536,0.8353797514180451,1.592703267596487,-0.7573235161784418,-1.275424771631592,-8.87420951951203,293.73142375306986,-0.4968422545436416,7.073163523908263e-17,True,1.2448017177823352e-15,227,2664,True,True,IFN_stress,16,5,True,38.303964757709196,5,15,0.1444330145278222,46.25550660792943
T4_vs_no_interaction,T4,no_interaction,Gbp2,13683,0.42720763723150273,0.583333333333316,-0.15612569610181332,-0.8903968001047609,3.6276917640782185,12.785852379963536,0.667574853067048,1.592703267596487,-0.925128414529439,-1.7894334962264438,-15.48227042439813,734.1318796345045,-0.6203262709126622,5.355298698180998e-47,True,6.201044041369339e-45,419,2664,True,True,IFN_stress,16,6,True,35.7589498806682,6,15,-0.6387145998612017,42.72076372315027
Q7_vs_no_interaction,Q7,no_interaction,Gbp2,13446,0.43298969072164845,0.583333333333316,-0.1503436426116676,-0.8570574015880174,4.430086683395536,12.785852379963536,0.7539527312821694,1.592703267596487,-0.8387505363143175,-1.5081774108071653,-11.333689491652565,413.5291878333607,-0.5539042029630674,4.095975986371538e-26,True,1.737252360401492e-24,291,2664,True,True,IFN_stress,16,7,True,36.17525773195869,7,15,-0.21019068229128257,43.298969072164844
Q4H7_vs_no_interaction,Q4H7,no_interaction,Gbp2,13971,0.4805825242718445,0.583333333333316,-0.10275080906147155,-0.5856434064676188,4.865352293630218,12.785852379963536,0.8662027345546764,1.592703267596487,-0.7265005330418105,-1.3758199862260228,-11.104699275224748,651.8751973130919,-0.4829134766927132,2.321541562081382e-26,True,4.267646324669915e-25,412,2664,True,True,IFN_stress,16,8,True,39.6019417475728,8,15,-0.008529900387046542,48.05825242718445
