gene,N4,A2,Y3,Q4,T4,V4,G4,D4,Q4R7,Q4H7,Q7,E1,CATNB,LCMV,TB,MCMV,multi_peptide,no_interaction
Ccl3,1.5587049747592758,1.5191382969029812,0.5183301079148447,0.6656693513630244,0.7405889324410829,-0.19904752076790444,-0.49859663707770185,-0.2434631985041896,0.519559576131863,-0.5332881319345696,0.24150509328468783,-0.9642423559206895,-1.618588393546925,-0.503610704449792,-1.2782337393927121,0.13230213249402178,1.6428689045931655,-1.6995966882904674
Ccl4,1.077165959844513,0.9853461834922985,0.2676516696414251,0.8199385203390673,0.7846972275110622,-0.017991600441520553,-0.4162741151523696,-0.300475833719047,0.8027916777769734,-0.015865425031919622,0.38993646531341847,-0.44172311724823454,-1.283439535331752,-0.8056783620471378,-1.1932700637810603,0.19701976085215248,1.7120434872184784,-2.5618728992363433
Ccl5,0.13457346479853685,1.4081399082492478,0.3732954843597193,0.03773590210882337,-0.9872257029075296,0.30350116492647305,-1.488880279082818,0.07259300219592112,-0.09279760460199998,-0.34513212828956025,-0.18918120061562957,-0.6307000314684327,3.01776460946625,-0.6596311086492096,0.2654265569162891,-1.488880279082818,0.40179195595721945,-0.13239371428048424
Ifng,-0.12180475614429408,-0.016343270989713176,0.6516549259633835,-0.011175314833888403,1.4576044758280575,0.7499558379049437,-0.26856859278262973,-0.8817241254530256,0.951496568314785,0.8141317965902616,0.2833247678030687,-0.4567380253118287,-0.6696539950648794,-1.4995195382562205,-2.0343718358686056,1.110454716592725,1.401716366326709,-1.4604400006188445
Tnf,-0.8419022394078659,-0.26618034680748753,-0.31529940257088424,0.8669743786980361,0.2661566344526672,0.9011341485389928,2.6533099407371203,-1.559580784601167,0.8420537292554764,-0.4317762497560424,0.6673939081109552,-0.26136694587368475,-0.30263824766543507,-0.49691698777576776,0.39494889177145637,-0.7848646032505637,0.47619704929550843,-1.807642873151311
Fasl,1.411784900168096,1.7034747202465763,0.804117882480857,1.3234761361521765,0.45384046577291653,-0.6719084238891186,-0.9622127366117712,-0.6762426415180051,1.6830586112646126,-0.8876261323279934,0.18995976249076027,-0.5111628515259986,-0.9503711371171111,-1.2552774309399883,-0.7573901449035961,-0.8925523276902081,0.6679953120992427,-0.672963964151447
Ctsw,-1.8969905624417205,-1.8478065259195775,-1.0452035723701145,-0.8180605266919577,-0.4681742494453389,0.7317558668356379,1.0772418666359524,1.1022106231047064,-0.5082603116169282,0.2470738378030019,-0.15337519509417652,1.1370537883086638,1.415453292601183,0.6670243212222547,0.907422388319979,-0.03200944168281839,-0.9836040315214497,0.46824843195269794
Cx3cr1,-1.0211251886758825,-0.3101392087542701,0.2975686817153915,-0.1632384815344661,-0.663306775502763,-0.7181103400685226,-0.2287704084655212,0.22919021593246605,1.3285605897998822,0.36259615137518875,0.12212486147858205,-0.556587691201129,3.2376098456733646,-1.1577012313015838,-1.1577012313015838,0.5100222339810553,-0.1881667811934475,0.07717475804323867
Zeb2,1.5950101723466692,1.7524271439957988,0.9591153005797781,0.10792180123249195,0.16640446225879316,-0.5213766103270302,0.535237568574388,-1.7400898767608073,0.2394712273983883,0.754462762775682,0.16317191342620901,0.2489599530773903,-0.6364599278534641,-0.7409572561131025,-1.73819012827469,-1.6719753936043051,0.591007693271762,-0.06414080600394703
Id2,-0.0988160029734959,-0.6495099998378392,-0.1373421982729331,-0.8525041079511906,-1.3461559951885873,1.056852350256384,-0.27184979325857866,1.2000298262525535,-0.9051306287142875,0.5196269942008804,-0.09546416960866463,2.002889344938558,-1.8921160063887745,0.0903883305954631,1.7437917135253524,0.09837142332154353,0.28021851002405035,-0.7432795909204284
Slamf7,1.3401099881456093,0.9515586797883133,-0.12260840525172417,-0.23069764991760244,0.9501055632383261,0.29461376951749774,1.0046099607296597,-0.3982797253174026,0.49337756519550036,-0.2214782674098571,-0.5915704545930959,0.3891649943428021,-1.2437261870965233,1.7833214969001911,-1.2583160722845692,-1.9691308159498624,0.25278421245059535,-1.4238386524878492
Pdcd1,2.2388619265725986,1.1850158797872163,1.0664661039972383,0.41134605747796466,0.5400417121100757,-0.42408883254134483,0.3210293281052521,-1.067420927084644,0.40435655396398723,-1.3381786466900614,0.7097686218013509,-1.2383819632871593,0.1704236643556234,-0.5674989892071225,-1.2743592280052718,-0.581175352357129,0.7474724184099414,-1.30367832740852
Ctla4,-2.1589758201392146,-0.6442678246157046,-0.7707751510958974,0.18857630572649473,0.6093888473876123,0.48816897242131035,0.9556625765198103,-0.28605511345715595,-0.5501666825829062,1.6419906318618638,-0.5838214863507444,0.02546261992821028,0.6705245589099139,-0.7042658634138068,2.3479840654107482,-0.11667238083583668,-0.19746294004058013,-0.9152953156341173
Lag3,1.1505212377142304,1.291996277898552,0.9409802883041423,0.9658155356504226,0.9789914123154991,-0.3519765637418133,-0.547563294714323,-1.1149608573990617,0.9965190703078034,0.47528296502800704,0.49688352480556963,-1.0430101325198027,-1.0577141351496675,-1.2131987363925374,-0.5368772451464048,-1.1366232591089536,1.2300605979265546,-1.5251266857782115
Havcr2,1.6470632997485555,1.0823933276121263,0.5505982764667307,-0.026639616517612902,0.06362394210997045,0.23672926029262184,0.5568426212749769,-1.1754729307992582,0.6111320031640257,-0.5671742633155401,-1.0222253397008338,0.745515988189516,-1.082220436143261,0.4587600415267633,-2.762162190114146,0.32568390476523623,0.7185624470320094,-0.36101033559187734
Tigit,1.189903899313359,0.9291450556405969,-0.6657600145552826,-0.18958612231229413,0.6574973231561321,-0.3638628610201006,-0.3224044793788819,-0.8500964451313648,0.8082165444595196,0.22415794533958297,0.8313402649476177,1.103505036459373,-0.08163370794367687,-0.7616045121561307,-1.2742311213532247,-0.9229010505671337,1.860010513375906,-2.1716962682739993
Entpd1,-0.2365980468459233,-0.7523878725724206,1.0905208661341277,0.7548555613711959,-0.7523878725724206,-0.7523878725724206,-0.7523878725724206,-0.4193072545398935,-0.24136297252501943,0.30705411011113043,2.412179640827359,-0.7523878725724206,2.294140060887546,-0.7523878725724206,-0.7523878725724206,-0.7523878725724206,-0.3208839203374358,0.3785049354962787
