contrast,treatment,control,gene,total_counts,pct_treatment,pct_control,mean_norm_treatment,mean_norm_control,mean_log1p_treatment,mean_log1p_control,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_treatment_cells,n_control_cells,neglog10_padj,in_top_gene_heatmap,sig
IFNg_vs_no_treatment,IFNg,no_treatment,Il10ra,990,0.08399908696644574,0.10899014778325111,0.16408463579829582,0.21566296399448262,0.08738064906040885,0.1139999271907055,-0.026619278130296645,-0.257384633234155,-4.011100593749334,9247.263704205818,-0.08295964170723776,6.091211567010557e-05,True,0.0008238963173079318,4381,4872,3.084127438368693,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Cep164,1237,0.12782469755763404,0.11720032840722483,0.23754408258797416,0.20951652923334235,0.12851583595093077,0.11660131734132007,0.011914518609610708,0.1250594712704151,1.6824167812387254,9018.156115727128,0.0351312588355956,0.09252266825086572,True,0.2551193681697525,4381,4872,0.5932565693402374,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Rnf214,1177,0.11275964391691305,0.120894909688013,0.21008313089800285,0.21668210159300086,0.11360733273283341,0.12011990360994272,-0.006512570877109311,-0.03038028788856101,-0.9394172751979818,9169.445923562867,-0.019547139865243493,0.3475412918706717,True,0.5799744004030347,4381,4872,0.23659117541820388,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Pcsk7,653,0.06368409039032201,0.06978653530377661,0.12153626563819124,0.13281879452177847,0.06509696059050112,0.07104243993797309,-0.005945479347471971,-0.0716646376182767,-1.0813371467215254,9212.621609911383,-0.022464707318123157,0.2795754737770851,True,0.5156267434553111,4381,4872,0.28766456565171417,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Sidt2,1109,0.11230312713992151,0.11145320197044323,0.20488367935320811,0.21521245102399,0.11252608127828989,0.11484761892159369,-0.0023215376433037976,-0.048065599087079976,-0.3357486987086186,9201.708847131402,-0.006978350048489829,0.7370680337868732,True,0.8686318515238718,4381,4872,0.06116424970618982,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Pafah1b2,3461,0.2944533211595478,0.3095238095238136,0.6238436446516675,0.6515617791073013,0.32131431656149084,0.3365101275605784,-0.015195810999087567,-0.05421360132256978,-1.3930088448193318,9170.741108317166,-0.02898418341165873,0.16365088105765557,True,0.37452635688894315,4381,4872,0.42651761388268344,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Sik3,3672,0.3099748915772603,0.3144499178981975,0.7185687279231825,0.7475038691507006,0.34872253335088915,0.3556390209044596,-0.006916487553570438,-0.05011640263600773,-0.5943938878463672,9179.111935731024,-0.012364173454235359,0.5522633450486701,True,0.748050760230725,4381,4872,0.12606893135994934,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Zpr1,3328,0.2921707372745901,0.2949507389162612,0.61701708249493,0.6139264298625954,0.31861209297716564,0.31914025028339554,-0.0005281573062299039,0.006232078514482699,-0.04901769163458836,9137.678175747911,-0.0010208713090196196,0.9609062683023688,True,0.9818253555138051,4381,4872,0.007965756492065532,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Bud13,1625,0.1552157041771267,0.1580459770114963,0.2878296646626788,0.3080503442444021,0.15720160994677948,0.16452955435498223,-0.007327944408202752,-0.07332400151622974,-0.9100394638254404,9208.267813380951,-0.018909590276318385,0.3628255174065907,True,0.5947153375964137,4381,4872,0.22569086098349708,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Cadm1,4801,0.35585482766491056,0.2848932676518941,1.035699877453073,0.7792678739605031,0.4447601059145424,0.3464658082415842,0.09829429767295822,0.3692069727453509,7.578285276033765,8884.64762435825,0.15860507957988682,3.852811528795277e-14,True,2.3636998729159023e-12,4381,4872,11.626407668150861,False,False
IFNg_vs_no_treatment,IFNg,no_treatment,Nxpe4,842,0.08947728829034428,0.07902298850574704,0.17526416733236153,0.16660231859839317,0.09097421010289519,0.08310206007323676,0.007872150029658437,0.046127491145525557,1.2519416219194903,9119.242668960373,0.026085935919592573,0.21062324621431994,True,0.4346450291197333,4381,4872,0.3618652828815849,False,False
