gene,no_treatment,LPS,PolyIC,IFNg
Nlrp3,-0.3756322825692526,1.7140902061131418,-0.7811672194189829,-0.5572907041249063
Nod1,-1.2416913768757825,1.036634933473699,-0.7228706112288175,0.9279270546309007
Nod2,-0.6931572551247646,1.7203156385449017,-0.6410938009331183,-0.38606458248701886
Rela,-1.1951260619477484,1.5182748741675283,0.165765268467846,-0.4889140806876259
Rel,-0.9769033278195456,1.1365621546491413,-1.0128730582198242,0.8532142313902286
Nfkbia,0.7943896151394554,-1.554426176484963,0.956159154906641,-0.19612259356113346
Nfkbiz,-1.046472606219279,0.6088444452042856,-0.8853698539707748,1.3229980149857685
Tnfaip3,0.99696284842602,-1.0137023600212793,1.0029381291439123,-0.9861986175486531
Jun,-0.011002798547181206,1.521824700695966,-0.2345284745168068,-1.276293427631978
Junb,0.09481287175174995,1.0335663534267214,0.5049528649382432,-1.6333320901167145
Fos,-0.024606665570490585,1.587110914574284,-0.4208608837847928,-1.1416433652190008
Fosb,1.077684779625526,-1.536295550316372,0.6612947245337711,-0.20268395384292512
Atf3,1.1739896153009053,-1.3943134941220332,0.6817242533735498,-0.4614003745524219
Dusp1,-1.2667582263142358,1.535746987916655,-0.1522046636325318,-0.11678409796988731
Dusp2,-0.8330107486587409,0.3472251692373963,-0.9955606732584051,1.4813462526797496
Lcn2,-0.702413798814022,1.713965846517338,-0.6750644753204077,-0.3364875723829082
Slpi,-0.23020535793404157,1.6231852446010475,-0.2829209209451691,-1.110058965721837
S100a8,-0.39080855477385823,1.6351208090995912,-0.1752265353743653,-1.0690857189513676
Sod2,0.7863815148387385,-1.4356325268188916,1.0695415827332586,-0.4202905707531056
Hmox1,-0.6067430931192591,1.7263918255328916,-0.6707915723705216,-0.448857160043111
Lyz2,0.2697233487623147,1.0258204194091576,0.36111982334170006,-1.6566635915131722
Lpl,0.8857182765759235,-1.6633346753121694,0.6594345660175791,0.11818183271866683
Srgn,-0.8963255233009297,1.3153605358744174,-1.039768084745515,0.6207330721720273
Apoe,0.5835679594825283,-1.5922057850750484,1.0591405251325783,-0.05050269954005808
Trem1,-0.7577531111643105,1.5472155820492544,-0.9948598336266089,0.20539736274166506
Trem2,1.0323255792414363,-0.708975095730089,0.9290539740639158,-1.252404457575263
Tyrobp,0.7781880116477656,0.10187305968465546,0.7840592391462415,-1.6641203104786626
Lgals3,0.17064330643933134,0.9305426263187453,0.5671427030256575,-1.6683286357837341
Axl,0.6682165273278593,1.1229521311893058,-0.308931705452892,-1.4822369530642732
Mertk,-0.19797046353627964,-1.53995905321995,1.067879699203175,0.6700498175530548
Socs1,0.560977418590213,-1.720741782772218,0.7408563456087943,0.4189080185732106
Socs3,-0.057519835049986034,1.4397013504248595,0.0048756996359991325,-1.3870572150108726
Birc2,1.6324075273929313,-0.09270622024779926,-1.0356618305629701,-0.504039476582162
Birc3,0.8371981157783506,-1.3834916953928729,1.059223028524636,-0.5129294489101137
Serpinb9,0.5663558477446148,-1.705066297571637,0.8180108405128766,0.3206996093141456
Itgax,-0.9115732271259985,1.625015338867398,-0.7267613081607407,0.013319196419341253
Flt3,0.8883278619362777,-1.2155769515415777,-0.7528088410102133,1.0800579306155134
Zbtb46,0.6562180597648639,-0.4484837371004409,-1.397440394896596,1.1897060722321733
Batf3,0.7792975243620714,-1.6944620119926679,0.6842216476342505,0.23094283999634602
Clec9a,-0.08741049166647175,-1.2463459894042306,-0.213328526435786,1.5470850075064884
Clec10a,-0.6979148579832252,1.6023800243183626,0.06558229210877702,-0.9700474584439144
Sirpa,0.5275295135685961,0.36601834347390444,0.8158680037267795,-1.70941586076928
Itgae,-0.8211920857352223,1.6996358039385824,-0.5989873266946703,-0.2794563915086898
Ly75,-0.2853019259360647,0.8922676189113496,0.9085933951479568,-1.5155590881232417
Ccr2,0.6649896519769348,0.10376007416819502,0.8906809276770202,-1.6594306538221502
Csf1r,0.8508886685634582,-1.1749583568727195,1.1219699335968372,-0.7979002452875757
