gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000255224	ENSG00000255224	lncRNA	8	-	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000245970	RPL30-AS1	lncRNA	8	+	9	20	2.498576505440928	2.1024341667417414	-0.20441611366157916	0.6788238162670365	0.7401646812915003	0.13067164213494273	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000258056	CD63-AS1	lncRNA	12	+	16	50	4.441913787450538	5.256085416854353	0.22001815814678072	0.6791319979938143	0.740315570777489	0.1305831161701047	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000255837	TAS2R20	protein_coding	12	-	16	50	4.441913787450538	5.256085416854353	0.22001815814678072	0.6791319979938143	0.740315570777489	0.1305831161701047	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000288771	ENSG00000288771	lncRNA	9	-	16	50	4.441913787450538	5.256085416854353	0.22001815814678072	0.6791319979938143	0.740315570777489	0.1305831161701047	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000129515	SNX6	protein_coding	14	-	251	642	69.68252254063033	67.4881367524099	-0.04582877033155189	0.6800654845367332	0.7412713781450392	0.13002276846539818	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000176894	PXMP2	protein_coding	12	+	30	88	8.32858835146976	9.25071033366366	0.14332454583573434	0.6805230806201199	0.7416465501175777	0.129803019121474	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000089057	SLC23A2	protein_coding	20	-	30	88	8.32858835146976	9.25071033366366	0.14332454583573434	0.6805230806201199	0.7416465501175777	0.129803019121474	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000260077	ENSG00000260077	lncRNA	2	-	30	89	8.32858835146976	9.355832042000747	0.15879489421611687	0.681209113841875	0.7423323509998938	0.1294016123900802	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000237441	RGL2	protein_coding	6	-	97	270	26.92910233641889	28.3828612510135	0.0745062600753327	0.68263491460023	0.7438241155424032	0.1285297454752779	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000226310	ENSG00000226310	lncRNA	X	+	35	85	9.716686410048053	8.9353452086524	-0.1147801537219293	0.6828355716077477	0.7439807810603365	0.12843828325418996	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000102753	KPNA3	protein_coding	13	-	172	438	47.75057321509329	46.043308251644135	-0.051972321944687865	0.68323642420516	0.7443555246213137	0.12821958394076308	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000181915	ADO	protein_coding	10	+	173	440	48.028192826808954	46.25355166831831	-0.053747171071090054	0.6838672505702323	0.7449807310284533	0.12785496015940975	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000255717	SNHG1	lncRNA	11	-	1654	4317	459.18283777769943	453.8104148912048	-0.01696042525354936	0.6847417442668199	0.7458712537483349	0.1273361304523696	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000155287	SLC25A28	protein_coding	10	-	31	90	8.606207963185419	9.460953750337836	0.12943347805946626	0.6851309029804047	0.7462330094915225	0.12712554392700123	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000139180	NDUFA9	protein_coding	12	+	50	143	13.880980585782932	15.032404292203449	0.11111911352684875	0.6869532658797792	0.7481555968116164	0.12600807083968366	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000157693	TMEM268	protein_coding	9	+	108	272	29.982918065291134	28.59310466768768	-0.06732375388046337	0.6875198186005633	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000149054	ZNF215	protein_coding	11	+	56	138	15.546698256076883	14.506795750518013	-0.09666051542846828	0.687574469597674	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000223685	LINC00571	lncRNA	13	-	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000197566	ZNF624	protein_coding	17	-	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
