Gene,preferred_symbol,selected_query,resolved_symbol,entrezgene,gene_name,program,program_evidence,annotation_blob
NOTCH2,NOTCH2,NOTCH2,NOTCH2,4853,notch receptor 2,Transcription / chromatin (likely general),transcription by rna pol,notch receptor 2 | cell fate determination | cell fate determination | heart looping | marginal zone b cell differentiation | marginal zone b cell differentiation | atrioventricular node development | pulmonary valve morphogenesis | pulmonary valve morphogenesis | regulation of dna-templated transcription | apoptotic process | apoptotic process | notch signaling pathway | notch signaling pathway | notch signaling pathway | notch signaling pathway | nervous system development | axon guidance | positive regulation of cell population proliferation | animal organ morphogenesis | negative regulation of gene expression | positive regulation of keratinocyte proliferation | hemopoiesis | hemopoiesis | cell differentiation | intracellular signal transduction | wound healing | regulation of apoptotic process | negative regulation of apoptotic process | positive regulation of osteoclast differentiation | positive regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | positive regulation of ras protein signal transduction | positive regulation of ras protein signal transduction | bone remodeling | regulation of developmental process | positive regulation of smooth muscle cell differentiation | positive regulation of smooth muscle cell differentiation | cardiac septum morphogenesis | atrial septum morphogenesis | positive regulation of erk1 and erk2 cascade | positive regulation of erk1 and erk2 cascade | left/right axis specification | cellular response to tumor cell | cellular response to tumor cell | proximal tubule development | podocyte development | glomerular capillary formation | positive regulation of mirna transcription | positive regulation of mirna transcription | regulation of hemopoiesis | regulation of osteoclast development | transcription coactivator activity | calcium ion binding | protein binding | enzyme binding | signaling receptor activity | signaling receptor activity | nf-kappab binding
STIM1,STIM1,STIM1,STIM1,6786,stromal interaction molecule 1,Other / unclear,no keyword match,stromal interaction molecule 1 | store-operated calcium entry | store-operated calcium entry | detection of calcium ion | intracellular calcium ion homeostasis | activation of store-operated calcium channel activity | positive regulation of adenylate cyclase activity | positive regulation of angiogenesis | regulation of calcium ion transport | regulation of calcium ion transport | enamel mineralization | regulation of store-operated calcium entry | protease binding | calcium channel regulator activity | calcium channel regulator activity | calcium channel regulator activity | calcium channel regulator activity | calcium ion binding | calcium ion binding | calcium ion binding | protein binding | identical protein binding | microtubule plus-end binding
EMC2,EMC2,EMC2,EMC2,9694,ER membrane protein complex subunit 2,Membrane-protein biogenesis (ER/GET/ERAD),tail-anchored,er membrane protein complex subunit 2 | protein insertion into er membrane by stop-transfer membrane-anchor sequence | protein insertion into er membrane by stop-transfer membrane-anchor sequence | tail-anchored membrane protein insertion into er membrane | tail-anchored membrane protein insertion into er membrane | protein binding | membrane insertase activity | membrane insertase activity
USP8,USP8,USP8,USP8,9101,ubiquitin specific peptidase 8,Ubiquitin–proteasome / protein degradation,deubiquitinat,"ubiquitin specific peptidase 8 | mitotic cytokinesis | endosome organization | endosome organization | ras protein signal transduction | protein deubiquitination | protein deubiquitination | protein deubiquitination | regulation of protein stability | regulation of protein localization | protein k63-linked deubiquitination | protein k48-linked deubiquitination | cellular response to dexamethasone stimulus | positive regulation of canonical wnt signaling pathway | regulation of protein catabolic process at postsynapse, modulating synaptic transmission | negative regulation of lysosomal protein catabolic process | positive regulation of amyloid fibril formation | cellular response to nerve growth factor stimulus | cysteine-type endopeptidase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | protein binding | cadherin binding | k63-linked deubiquitinase activity | k48-linked deubiquitinase activity"
VPS8,VPS8,VPS8,VPS8,23355,VPS8 subunit of CORVET complex,Polarized exocytosis & fusion,\bsnare\b,vps8 subunit of corvet complex | protein targeting to vacuole | endosomal vesicle fusion | endosomal vesicle fusion | endosomal vesicle fusion | regulation of snare complex assembly | protein binding | protein-membrane adaptor activity
IFI30,IFI30,IFI30,IFI30,10437,IFI30 lysosomal thiol reductase,Antigen processing & presentation (MHC-I),antigen process,"ifi30 lysosomal thiol reductase | antigen processing and presentation of exogenous peptide antigen via mhc class ii | antigen processing and presentation of exogenous peptide antigen via mhc class i | antigen processing and presentation of exogenous peptide antigen via mhc class i | protein binding | oxidoreductase activity, acting on a sulfur group of donors | oxidoreductase activity, acting on a sulfur group of donors | oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor | oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
RAB7A,RAB7A,RAB7A,RAB7A,7879,"RAB7A, member RAS oncogene family",Autophagy–secretion & DAMP,\bautophagosome\b,"rab7a, member ras oncogene family | autophagosome assembly | protein targeting to lysosome | endocytosis | epidermal growth factor catabolic process | endosome to lysosome transport | endosome to lysosome transport | response to bacterium | protein transport | viral release from host cell | protein to membrane docking | retrograde transport, endosome to golgi | cholesterol homeostasis | early endosome to late endosome transport | positive regulation of protein catabolic process | positive regulation of viral process | protein localization to lysosome | lipophagy | lysosome to er cholesterol transport | phagosome maturation | phagosome acidification | phagosome-lysosome fusion | phagosome-lysosome fusion | endosome to plasma membrane protein transport | negative regulation of exosomal secretion | positive regulation of exosomal secretion | negative regulation of intralumenal vesicle formation | gtpase activity | gtpase activity | gtpase activity | gtpase activity | g protein activity | g protein activity | protein binding | gtp binding | gtp binding | gdp binding | sterol sensor activity | retromer complex binding"
TSEN15,TSEN15,TSEN15,TSEN15,116461,tRNA splicing endonuclease subunit 15,Spliceosome / RNA processing (likely general),rna splic,"trna splicing endonuclease subunit 15 | trna-type intron splice site recognition and cleavage | trna splicing, via endonucleolytic cleavage and ligation | nucleic acid binding | protein binding"
CARD17,CARD17,CARD17,CARD17P,440068,"caspase recruitment domain family member 17, pseudogene",Cytokine / GPCR / surface receptor signaling,interleukin,"caspase recruitment domain family member 17, pseudogene | proteolysis | regulation of interleukin-1 beta production | negative regulation of interleukin-1 beta production | regulation of apoptotic process | cellular response to lipopolysaccharide | cysteine-type endopeptidase activity | protein binding | enzyme binding | identical protein binding | caspase binding"
MXD1,MXD1,MXD1,MXD1,4084,MAX dimerization protein 1,Transcription / chromatin (likely general),transcription by rna pol,"max dimerization protein 1 | negative regulation of transcription by rna polymerase ii | negative regulation of transcription by rna polymerase ii | negative regulation of transcription by rna polymerase ii | regulation of transcription by rna polymerase ii | rna polymerase ii cis-regulatory region sequence-specific dna binding | rna polymerase ii cis-regulatory region sequence-specific dna binding | dna-binding transcription factor activity, rna polymerase ii-specific | dna-binding transcription factor activity, rna polymerase ii-specific | dna-binding transcription repressor activity, rna polymerase ii-specific | protein binding | protein dimerization activity"
PRPF38B,PRPF38B,PRPF38B,PRPF38B,55119,pre-mRNA processing factor 38B,Spliceosome / RNA processing (likely general),pre-mrna,pre-mrna processing factor 38b | rna binding
NUDT5,NUDT5,NUDT5,NUDT5,11164,nudix hydrolase 5,Transcription / chromatin (likely general),chromatin,nudix hydrolase 5 | chromatin remodeling | nucleoside phosphate metabolic process | nucleotide metabolic process | ribonucleoside diphosphate catabolic process | ribonucleoside diphosphate catabolic process | d-ribose catabolic process | d-ribose catabolic process | ribose phosphate metabolic process | nucleobase-containing small molecule metabolic process | atp generation from poly-adp-d-ribose | magnesium ion binding | protein binding | nucleotidyltransferase activity | hydrolase activity | nucleoside diphosphate phosphatase activity | adp-sugar pyrophosphatase activity | snorna binding | snorna binding | identical protein binding | protein homodimerization activity | 8-oxo-dgdp phosphatase activity | 8-oxo-dgdp phosphatase activity | 8-oxo-dgdp phosphatase activity | adp-ribose diphosphatase activity | adp-ribose diphosphatase activity | adp-ribose diphosphatase activity | adp-ribose diphosphatase activity | 5'-(n(7)-methylguanosine 5'-triphospho)-[mrna] hydrolase activity
TSEN2,TSEN2,TSEN2,TSEN2,80746,tRNA splicing endonuclease subunit 2,Spliceosome / RNA processing (likely general),rna splic,"trna splicing endonuclease subunit 2 | trna-type intron splice site recognition and cleavage | trna-type intron splice site recognition and cleavage | trna splicing, via endonucleolytic cleavage and ligation | trna splicing, via endonucleolytic cleavage and ligation | trna processing | trna-intron lyase activity | trna-intron lyase activity | nucleic acid binding | protein binding"
ZNF71,ZNF71,ZNF71,ZNF71,58491,zinc finger protein 71,Transcription / chromatin (likely general),transcription by rna pol,"zinc finger protein 71 | regulation of transcription by rna polymerase ii | positive regulation of transcription by rna polymerase ii | rna polymerase ii cis-regulatory region sequence-specific dna binding | dna-binding transcription activator activity, rna polymerase ii-specific | protein binding"
SLC2A8,SLC2A8,SLC2A8,SLC2A8,29988,solute carrier family 2 member 8,Transport — ion channels & solute carriers,solute carrier,solute carrier family 2 member 8 | carbohydrate metabolic process | male meiosis i | hexose transmembrane transport | fructose transmembrane transport | fructose transmembrane transport | transmembrane transport | dehydroascorbic acid transport | dehydroascorbic acid transport | d-glucose transmembrane transport | d-glucose transmembrane transport | d-glucose transmembrane transport | fructose transmembrane transporter activity | fructose transmembrane transporter activity | d-glucose binding | transmembrane transporter activity | dehydroascorbic acid transmembrane transporter activity | dehydroascorbic acid transmembrane transporter activity | d-glucose transmembrane transporter activity | d-glucose transmembrane transporter activity | d-glucose transmembrane transporter activity | d-glucose transmembrane transporter activity
