Gene,preferred_symbol,selected_query,resolved_symbol,entrezgene,gene_name,program,program_evidence,annotation_blob
PREB,PREB,PREB,PREB,10113,prolactin regulatory element binding,ER-Golgi / COPII vesicular transport,copii,prolactin regulatory element binding | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | lipoprotein transport | copii vesicle coat assembly | copii vesicle coat assembly | copii vesicle coat assembly | guanyl-nucleotide exchange factor activity | guanyl-nucleotide exchange factor activity | guanyl-nucleotide exchange factor activity | protein binding | gtpase binding
SNRPF,SNRPF,SNRPF,SNRPF,6636,small nuclear ribonucleoprotein polypeptide F,Spliceosome / RNA processing (likely general),spliceosom,"small nuclear ribonucleoprotein polypeptide f | spliceosomal tri-snrnp complex assembly | spliceosomal complex assembly | spliceosomal snrnp assembly | spliceosomal snrnp assembly | spliceosome conformational change to release u4 (or u4atac) and u1 (or u11) | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | rna splicing | protein-rna complex assembly | 7-methylguanosine cap hypermethylation | negative regulation of mrna splicing, via spliceosome | nuclear histone mrna catabolic process | u2-type prespliceosome assembly | rna binding | rna binding | rna binding | protein binding"
GOSR2,GOSR2,GOSR2,GOSR2,9570,golgi SNAP receptor complex member 2,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,golgi snap receptor complex member 2 | endoplasmic reticulum to golgi vesicle-mediated transport | intra-golgi vesicle-mediated transport | intra-golgi vesicle-mediated transport | vesicle fusion | vesicle-mediated transport | membrane fusion | snare binding | snap receptor activity | snap receptor activity | protein binding
BET1,BET1,BET1,BET1,10282,Bet1 golgi vesicular membrane trafficking protein,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,bet1 golgi vesicular membrane trafficking protein | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | vesicle-mediated transport | vesicle fusion with golgi apparatus | snap receptor activity | protein binding
TRAPPC4,TRAPPC4,TRAPPC4,TRAPPC4,51399,trafficking protein particle complex subunit 4,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 4 | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | vesicle coat assembly | autophagy | vesicle-mediated transport | dendrite development | dendrite development | copii vesicle coat assembly | protein binding
SNRPD2,SNRPD2,SNRPD2,SNRPD2,6633,small nuclear ribonucleoprotein D2 polypeptide,Spliceosome / RNA processing (likely general),spliceosom,"small nuclear ribonucleoprotein d2 polypeptide | spliceosomal tri-snrnp complex assembly | spliceosomal complex assembly | spliceosomal complex assembly | spliceosomal snrnp assembly | spliceosomal snrnp assembly | spliceosomal snrnp assembly | spliceosome conformational change to release u4 (or u4atac) and u1 (or u11) | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | rna splicing | rna splicing | 7-methylguanosine cap hypermethylation | negative regulation of mrna splicing, via spliceosome | u2-type prespliceosome assembly | rna binding | rna binding | protein binding"
TRAPPC8,TRAPPC8,TRAPPC8,TRAPPC8,22878,trafficking protein particle complex subunit 8,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 8 | endoplasmic reticulum to golgi vesicle-mediated transport | golgi organization | collagen biosynthetic process | copii vesicle coat assembly | protein binding
TRAPPC3,TRAPPC3,TRAPPC3,TRAPPC3,27095,trafficking protein particle complex subunit 3,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 3 | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | intra-golgi vesicle-mediated transport | vesicle coat assembly | golgi vesicle transport | copii vesicle coat assembly | guanyl-nucleotide exchange factor activity | protein binding
KIAA0947,ICE1,ICE1,ICE1,23379,interactor of little elongation complex ELL subunit 1,Transcription / chromatin (likely general),transcription by rna pol,interactor of little elongation complex ell subunit 1 | positive regulation of protein-containing complex assembly | snrna transcription by rna polymerase ii | snrna transcription by rna polymerase ii | snrna transcription by rna polymerase iii | snrna transcription by rna polymerase iii | positive regulation of transcription by rna polymerase iii | positive regulation of intracellular protein transport | positive regulation of snrna transcription by rna polymerase ii | protein binding | protein-macromolecule adaptor activity | protein-macromolecule adaptor activity
USP30,USP30,USP30,USP30,84749,ubiquitin specific peptidase 30,Ubiquitin–proteasome / protein degradation,deubiquitinat,ubiquitin specific peptidase 30 | pexophagy | mitochondrial fusion | mitochondrial fusion | protein deubiquitination | protein deubiquitination | protein deubiquitination | regulation of protein stability | protein k11-linked deubiquitination | protein k6-linked deubiquitination | negative regulation of mitophagy | negative regulation of mitophagy | negative regulation of mitophagy | cysteine-type endopeptidase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | cysteine-type deubiquitinase activity | protein binding | deubiquitinase activity
CNTROB,CNTROB,CNTROB,CNTROB,116840,"centrobin, centriole duplication and spindle assembly protein",Cytokine / GPCR / surface receptor signaling,cytokine,"centrobin, centriole duplication and spindle assembly protein | centriole replication | centriole replication | centriole replication | centrosome separation | centrosome separation | regulation of cilium assembly | mitotic cytokinetic process | mitotic cytokinetic process | protein binding | protein domain specific binding"
SEC23B,SEC23B,SEC23B,SEC23B,10483,"SEC23 homolog B, COPII component",ER-Golgi / COPII vesicular transport,copii,"sec23 homolog b, copii component | intracellular protein transport | endoplasmic reticulum to golgi vesicle-mediated transport | copii-coated vesicle cargo loading | copii-coated vesicle budding | gtpase activator activity | protein binding | zinc ion binding"
PLRG1,PLRG1,PLRG1,PLRG1,5356,pleiotropic regulator 1,Spliceosome / RNA processing (likely general),spliceosom,"pleiotropic regulator 1 | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | mrna splicing, via spliceosome | protein binding"
C9orf170,LINC02872,LINC02872,LINC02872,401535,long independently transcribed non-coding RNA 2872,Other / unclear,no keyword match,long independently transcribed non-coding rna 2872
TAP2,TAP2,TAP2,TAP2,6891,"transporter 2, ATP binding cassette subfamily B member",Antigen processing & presentation (MHC-I),antigen process,"transporter 2, atp binding cassette subfamily b member | adaptive immune response | antigen processing and presentation of endogenous peptide antigen via mhc class ib via er pathway, tap-dependent | defense response | peptide transport | peptide transport | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | cytosol to endoplasmic reticulum transport | peptide antigen transport | peptide antigen transport | transmembrane transport | transmembrane transport | protein binding | atp binding | atp binding | atp binding | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide transporter activity | abc-type peptide transporter activity | atp hydrolysis activity | mhc class ib protein binding | mhc protein binding | peptide antigen binding | tap1 binding | tap1 binding | tapasin binding | abc-type transporter activity | peptide transmembrane transporter activity | peptide transmembrane transporter activity"
ARHGEF35,ARHGEF35,ARHGEF35,ARHGEF35,445328,Rho guanine nucleotide exchange factor 35,Actin & Rho signaling,rho guanine nucleotide,rho guanine nucleotide exchange factor 35
SPCS2,SPCS2,SPCS2,SPCS2,9789,signal peptidase complex subunit 2,Membrane-protein biogenesis (ER/GET/ERAD),signal peptidase,signal peptidase complex subunit 2 | protein processing | protein targeting to er | protein maturation | protein binding
STX18,STX18,STX18,STX18,53407,syntaxin 18,ER-Golgi / COPII vesicular transport,golgi to endoplasmic reticulum,"syntaxin 18 | intracellular protein transport | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | membrane fusion | endoplasmic reticulum membrane organization | positive regulation of organelle assembly | positive regulation of er to golgi vesicle-mediated transport | regulation of golgi organization | snap receptor activity | protein binding | protein domain specific binding"
TAPBP,TAPBP,TAPBP,TAPBP,6892,TAP binding protein,Antigen processing & presentation (MHC-I),antigen process,"tap binding protein | mhc class ib protein complex assembly | antigen processing and presentation of peptide antigen via mhc class i | peptide antigen assembly with mhc class i protein complex | peptide antigen assembly with mhc class i protein complex | protein folding | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | regulation of gene expression | antigen processing and presentation of endogenous peptide antigen via mhc class i | peptide antigen stabilization | peptide antigen stabilization | regulation of protein complex stability | protein-containing complex assembly | protein binding | mhc class i protein complex binding | mhc class i protein binding | peptide antigen binding | peptide antigen binding | protein folding chaperone | tap1 binding | tap1 binding | tap1 binding | tap2 binding | tap2 binding | tap2 binding | molecular adaptor activity | tap complex binding | tap complex binding"
USO1,USO1,USO1,USO1,8615,USO1 vesicle transport factor,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,uso1 vesicle transport factor | intracellular protein transport | intracellular protein transport | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | vesicle-mediated transport | transcytosis | golgi vesicle transport | vesicle fusion with golgi apparatus | membrane fusion | rna binding | protein binding | cadherin binding
ZKSCAN1,ZKSCAN1,ZKSCAN1,ZKSCAN1,7586,zinc finger with KRAB and SCAN domains 1,Transcription / chromatin (likely general),transcription by rna pol,"zinc finger with krab and scan domains 1 | regulation of dna-templated transcription | regulation of transcription by rna polymerase ii | rna polymerase ii cis-regulatory region sequence-specific dna binding | dna-binding transcription factor activity, rna polymerase ii-specific | protein binding | identical protein binding | sequence-specific double-stranded dna binding"
NDUFA1,NDUFA1,NDUFA1,NDUFA1,4694,NADH:ubiquinone oxidoreductase subunit A1,Metabolism / mitochondria (likely general),mitochondrial,"nadh:ubiquinone oxidoreductase subunit a1 | mitochondrial electron transport, nadh to ubiquinone | aerobic respiration | proton motive force-driven mitochondrial atp synthesis | proton transmembrane transport | nadh dehydrogenase (ubiquinone) activity | nadh dehydrogenase (ubiquinone) activity"
TRAPPC1,TRAPPC1,TRAPPC1,TRAPPC1,58485,trafficking protein particle complex subunit 1,TRAPP tethering complex,trafficking protein particle,trafficking protein particle complex subunit 1 | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | vesicle coat assembly | vesicle-mediated transport | copii vesicle coat assembly | protein binding
SEC22B,SEC22B,SEC22B,SEC22B,9554,"SEC22 homolog B, vesicle trafficking protein",ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,"sec22 homolog b, vesicle trafficking protein | endoplasmic reticulum to golgi vesicle-mediated transport | endoplasmic reticulum to golgi vesicle-mediated transport | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | vesicle fusion | cellular response to starvation | vesicle-mediated transport | macroautophagy | positive regulation of protein catabolic process | negative regulation of autophagosome assembly | snap receptor activity | protein binding"
RPH3AL,RPH3AL,RPH3AL,RPH3AL,9501,rabphilin 3A like (without C2 domains),Polarized exocytosis & fusion,\bexocytos,rabphilin 3a like (without c2 domains) | intracellular protein transport | exocytosis | positive regulation of insulin secretion | glucose homeostasis | positive regulation of calcium ion-dependent exocytosis | calcium-dependent activation of synaptic vesicle fusion | protein binding | cytoskeletal protein binding | small gtpase binding
ICE1,ICE1,ICE1,ICE1,23379,interactor of little elongation complex ELL subunit 1,Transcription / chromatin (likely general),transcription by rna pol,interactor of little elongation complex ell subunit 1 | positive regulation of protein-containing complex assembly | snrna transcription by rna polymerase ii | snrna transcription by rna polymerase ii | snrna transcription by rna polymerase iii | snrna transcription by rna polymerase iii | positive regulation of transcription by rna polymerase iii | positive regulation of intracellular protein transport | positive regulation of snrna transcription by rna polymerase ii | protein binding | protein-macromolecule adaptor activity | protein-macromolecule adaptor activity
PARD6A,PARD6A,PARD6A,PARD6A,50855,par-6 family cell polarity regulator alpha,Cell polarity,cell polarity,par-6 family cell polarity regulator alpha | centrosome cycle | centrosome cycle | establishment or maintenance of cell polarity | viral process | establishment or maintenance of epithelial cell apical/basal polarity | cell-cell junction maintenance | regulation of cellular localization | positive regulation of protein localization to centrosome | protein binding | protein-macromolecule adaptor activity | gtp-dependent protein binding | small gtpase binding
PSMB9,PSMB9,PSMB9,PSMB9,5698,proteasome 20S subunit beta 9,Ubiquitin–proteasome / protein degradation,proteasom,"proteasome 20s subunit beta 9 | immune system process | proteasomal protein catabolic process | protein catabolic process | positive regulation of type ii interferon production | positive regulation of interleukin-2 production | positive regulation of tumor necrosis factor production | response to type ii interferon | proteasome-mediated ubiquitin-dependent protein catabolic process | proteasome-mediated ubiquitin-dependent protein catabolic process | cd8-positive, alpha-beta t cell differentiation | thymic t cell selection | t-helper 1 cell differentiation | negative regulation of regulatory t cell differentiation | t-helper 17 cell differentiation | cd8-positive, alpha-beta t cell homeostasis | endopeptidase activity | threonine-type endopeptidase activity | protein binding"
BNIP1,BNIP1,BNIP1,BNIP1,662,BCL2 interacting protein 1,ER-Golgi / COPII vesicular transport,golgi to endoplasmic reticulum,"bcl2 interacting protein 1 | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | apoptotic process | endoplasmic reticulum organization | endoplasmic reticulum organization | response to activity | endoplasmic reticulum membrane fusion | calcium-mediated signaling | response to starvation | negative regulation of apoptotic process | response to oxygen-glucose deprivation | execution phase of apoptosis | apoptotic process in response to mitochondrial fragmentation | snap receptor activity | snap receptor activity | snap receptor activity | protein binding | calcium-induced calcium release activity"
USPL1,USPL1,USPL1,USPL1,10208,ubiquitin specific peptidase like 1,Other / unclear,no keyword match,ubiquitin specific peptidase like 1 | cell population proliferation | snrna transcription | protein desumoylation | protein desumoylation | cajal body organization | cajal body organization | cajal body organization | protein binding | desumoylase activity | sumo binding | sumo binding | sumo binding | ubiquitin binding
FBXW12,FBXW12,FBXW12,FBXW12,285231,F-box and WD repeat domain containing 12,Ubiquitin–proteasome / protein degradation,proteasom,f-box and wd repeat domain containing 12 | protein ubiquitination | scf-dependent proteasomal ubiquitin-dependent protein catabolic process
COPS3,COPS3,COPS3,COPS3,8533,COP9 signalosome subunit 3,COP9 signalosome / neddylation,cop9 signalosome,"cop9 signalosome subunit 3 | protein deneddylation | ubiquitin-dependent protein catabolic process | signal transduction | response to light stimulus | regulation of dna damage response, signal transduction by p53 class mediator | protein neddylation | positive regulation of keratinocyte differentiation | regulation of protein neddylation | protein binding"
OPTN,OPTN,OPTN,OPTN,10133,optineurin,ER-Golgi / COPII vesicular transport,golgi organization,optineurin | negative regulation of receptor recycling | golgi organization | signal transduction | cell death | positive regulation of autophagy | protein localization to golgi apparatus | protein localization to golgi apparatus | cellular response to unfolded protein | golgi to plasma membrane protein transport | regulation of canonical nf-kappab signal transduction | defense response to gram-negative bacterium | type 2 mitophagy | golgi ribbon formation | golgi ribbon formation | golgi ribbon formation | positive regulation of xenophagy | protein binding | protein-macromolecule adaptor activity | polyubiquitin modification-dependent protein binding | identical protein binding | k63-linked polyubiquitin modification-dependent protein binding | k63-linked polyubiquitin modification-dependent protein binding
KCNAB3,KCNAB3,KCNAB3,KCNAB3,9196,potassium voltage-gated channel subfamily A regulatory beta subunit 3,Transport — ion channels & solute carriers,potassium ion transmembrane,potassium voltage-gated channel subfamily a regulatory beta subunit 3 | potassium ion transport | potassium ion transport | potassium ion transmembrane transport | regulation of potassium ion transmembrane transport | voltage-gated potassium channel activity | protein binding | alcohol dehydrogenase (nadp+) activity | potassium channel regulator activity | potassium channel regulator activity | transmembrane transporter binding
NSF,NSF,NSF,NSF,4905,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",ER-Golgi / COPII vesicular transport,intra-golgi,"n-ethylmaleimide sensitive factor, vesicle fusing atpase | positive regulation of receptor recycling | intracellular protein transport | exocytosis | intra-golgi vesicle-mediated transport | vesicle-mediated transport | regulation of exocytosis | endosomal vesicle fusion | snare complex disassembly | snare complex disassembly | golgi to plasma membrane protein transport | positive regulation of protein catabolic process | snare binding | protein binding | atp binding | atp hydrolysis activity | atp hydrolysis activity | atp hydrolysis activity | syntaxin-1 binding | protein kinase binding | protein kinase binding | pdz domain binding | ionotropic glutamate receptor binding | protein-containing complex binding | protein-containing complex binding | atp-dependent protein disaggregase activity"
OR4A16,OR4A16,OR4A16,OR4A16,81327,olfactory receptor family 4 subfamily A member 16,Cytokine / GPCR / surface receptor signaling,g protein-coupled receptor,olfactory receptor family 4 subfamily a member 16 | g protein-coupled receptor signaling pathway | detection of chemical stimulus involved in sensory perception of smell | g protein-coupled receptor activity | olfactory receptor activity | olfactory receptor activity
ABCD4,ABCD4,ABCD4,ABCD4,5826,ATP binding cassette subfamily D member 4,Transport — ion channels & solute carriers,atp binding cassette,atp binding cassette subfamily d member 4 | fatty acid beta-oxidation | peroxisome organization | cobalamin metabolic process | cobalamin metabolic process | cobalamin transport | cobalamin transport | long-chain fatty acid import into peroxisome | very long-chain fatty acid catabolic process | transmembrane transport | transmembrane transport | long-chain fatty acid transmembrane transporter activity | protein binding | atp binding | atp binding | atp binding | abc-type vitamin b12 transporter activity | abc-type vitamin b12 transporter activity | abc-type vitamin b12 transporter activity | abc-type vitamin b12 transporter activity | atp hydrolysis activity | atpase-coupled transmembrane transporter activity | atpase-coupled transmembrane transporter activity | identical protein binding | abc-type transporter activity
RWDD4,RWDD4,RWDD4,RWDD4,201965,RWD domain containing 4,Other / unclear,no keyword match,rwd domain containing 4 | protein binding
AQP12A,AQP12A,AQP12A,AQP12A,375318,aquaporin 12A,Transport — ion channels & solute carriers,aquaporin,aquaporin 12a | water transport | intracellular water homeostasis | transmembrane transport | water channel activity | water channel activity | channel activity
CACNG7,CACNG7,CACNG7,CACNG7,59284,calcium voltage-gated channel auxiliary subunit gamma 7,Transport — ion channels & solute carriers,voltage-gated (potassium|sodium|calcium),"calcium voltage-gated channel auxiliary subunit gamma 7 | calcium ion transport | calcium ion transport | transmission of nerve impulse | regulation of mrna stability | positive regulation of synaptic transmission, glutamatergic | calcium ion transmembrane transport | postsynaptic neurotransmitter receptor diffusion trapping | neurotransmitter receptor localization to postsynaptic specialization membrane | positive regulation of dendrite extension | regulation of ampa receptor activity | voltage-gated calcium channel activity | voltage-gated calcium channel activity | calcium channel regulator activity | protein binding | channel regulator activity"
EXOC5,EXOC5,EXOC5,EXOC5,10640,exocyst complex component 5,Polarized exocytosis & fusion,exocyst,exocyst complex component 5 | mitotic cytokinesis | kidney development | exocytosis | post-golgi vesicle-mediated transport | golgi to plasma membrane transport | protein localization to plasma membrane | membrane fission | protein binding | small gtpase binding
TAP1,TAP1,TAP1,TAP1,6890,"transporter 1, ATP binding cassette subfamily B member",Antigen processing & presentation (MHC-I),antigen process,"transporter 1, atp binding cassette subfamily b member | adaptive immune response | defense response | peptide transport | peptide transport | peptide transport | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | antigen processing and presentation of endogenous peptide antigen via mhc class i | cytosol to endoplasmic reticulum transport | transmembrane transport | transmembrane transport | protein binding | atp binding | atp binding | atp binding | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide antigen transporter activity | abc-type peptide transporter activity | atp hydrolysis activity | mhc class ib protein binding | mhc protein binding | mhc class i protein binding | peptide antigen binding | peptide antigen binding | protein homodimerization activity | adp binding | tap1 binding | tap1 binding | tap2 binding | abc-type transporter activity | peptide transmembrane transporter activity | peptide transmembrane transporter activity"
COPS4,COPS4,COPS4,COPS4,51138,COP9 signalosome subunit 4,COP9 signalosome / neddylation,cop9 signalosome,cop9 signalosome subunit 4 | protein deneddylation | protein deneddylation | protein neddylation | regulation of protein neddylation | protein binding | deneddylase activity
WNT2B,WNT2B,WNT2B,WNT2B,7482,Wnt family member 2B,Cytokine / GPCR / surface receptor signaling,cytokine,wnt family member 2b | chondrocyte differentiation | lens development in camera-type eye | male gonad development | wnt signaling pathway | forebrain regionalization | forebrain regionalization | neuron differentiation | neuron differentiation | cell fate commitment | animal organ development | system development | canonical wnt signaling pathway | canonical wnt signaling pathway | canonical wnt signaling pathway | iris morphogenesis | cornea development in camera-type eye | hematopoietic stem cell proliferation | signaling receptor binding | frizzled binding | cytokine activity | protein binding
STX5,STX5,STX5,STX5,6811,syntaxin 5,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,"syntaxin 5 | intracellular protein transport | intracellular protein transport | endoplasmic reticulum to golgi vesicle-mediated transport | retrograde vesicle-mediated transport, golgi to endoplasmic reticulum | vesicle fusion | vesicle-mediated transport | early endosome to golgi transport | retrograde transport, endosome to golgi | positive regulation of protein catabolic process | membrane fusion | golgi disassembly | regulation of golgi organization | snare binding | snap receptor activity | snap receptor activity | snap receptor activity | protein binding | cadherin binding"
MBD3,MBD3,MBD3,MBD3,53615,methyl-CpG binding domain protein 3,Transcription / chromatin (likely general),transcription by rna pol,methyl-cpg binding domain protein 3 | negative regulation of transcription by rna polymerase ii | ventricular cardiac muscle tissue development | chromatin remodeling | chromatin remodeling | dna methylation-dependent constitutive heterochromatin formation | response to nutrient levels | response to estradiol | epigenetic regulation of gene expression | regulation of cell fate specification | negative regulation of dna-templated transcription | positive regulation of dna-templated transcription | embryonic organ development | response to bisphenol a | regulation of stem cell differentiation | dna binding | dna binding | protein binding | methyl-cpg binding | methyl-cpg binding | methyl-cpg binding | nucleosomal dna binding
INTS9,INTS9,INTS9,INTS9,55756,integrator complex subunit 9,Cytokine / GPCR / surface receptor signaling,growth factor.*signal,integrator complex subunit 9 | snrna processing | snrna processing | snrna processing | negative regulation of transforming growth factor beta receptor signaling pathway | regulation of transcription elongation by rna polymerase ii | regulation of transcription elongation by rna polymerase ii | snrna 3'-end processing | snrna 3'-end processing | snrna 3'-end processing | negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway | regulation of cellular response to growth factor stimulus | rna polymerase ii transcription initiation surveillance | rna polymerase ii transcription initiation surveillance | protein binding
NKAP,NKAP,NKAP,NKAP,79576,NFKB activating protein,Spliceosome / RNA processing (likely general),spliceosom,"nfkb activating protein | negative regulation of transcription by rna polymerase ii | mrna splicing, via spliceosome | negative regulation of dna-templated transcription | negative regulation of dna-templated transcription | positive regulation of alpha-beta t cell differentiation | chromatin binding | chromatin binding | chromatin binding | rna binding | protein binding | chromatin dna binding"
HSPH1,HSPH1,HSPH1,HSPH1,10808,heat shock protein family H (Hsp110) member 1,Antigen processing & presentation (MHC-I),mhc class i,heat shock protein family h (hsp110) member 1 | protein folding | response to unfolded protein | response to unfolded protein | positive regulation of mhc class i biosynthetic process | positive regulation of mhc class i biosynthetic process | positive regulation of nk t cell activation | positive regulation of nk t cell activation | adenyl-nucleotide exchange factor activity | adenyl-nucleotide exchange factor activity | protein binding | atp binding | atp hydrolysis activity | alpha-tubulin binding
ALDH1A3,ALDH1A3,ALDH1A3,ALDH1A3,220,aldehyde dehydrogenase 1 family member A3,Other / unclear,no keyword match,aldehyde dehydrogenase 1 family member a3 | retinoic acid biosynthetic process | retinoic acid biosynthetic process | aldehyde metabolic process | embryonic camera-type eye development | embryonic camera-type eye development | retinol metabolic process | retinoic acid metabolic process | retinal metabolic process | 9-cis-retinoic acid biosynthetic process | nose development | embryonic eye morphogenesis | protein homotetramerization | harderian gland development | retinal dehydrogenase (nad+) activity | retinal dehydrogenase (nad+) activity | aldehyde dehydrogenase (nad+) activity | aldehyde dehydrogenase (nad+) activity | aldehyde dehydrogenase [nad(p)+] activity | aldehyde dehydrogenase [nad(p)+] activity | oxidoreductase activity | protein homodimerization activity | thyroid hormone binding | nad+ binding | nad+ binding
INTS11,INTS11,INTS11,INTS11,54973,integrator complex subunit 11,Spliceosome / RNA processing (likely general),rna processing,integrator complex subunit 11 | snrna processing | snrna processing | snrna processing | regulation of transcription elongation by rna polymerase ii | regulation of transcription elongation by rna polymerase ii | snrna 3'-end processing | rna polymerase ii transcription initiation surveillance | rna polymerase ii transcription initiation surveillance | rna endonuclease activity | rna endonuclease activity | rna endonuclease activity | rna endonuclease activity | protein binding | protein binding
KCTD3,KCTD3,KCTD3,KCTD3,51133,potassium channel tetramerization domain containing 3,Other / unclear,no keyword match,potassium channel tetramerization domain containing 3 | protein homooligomerization | protein binding
PDHA1,PDHA1,PDHA1,PDHA1,5160,pyruvate dehydrogenase E1 subunit alpha 1,Other / unclear,no keyword match,"pyruvate dehydrogenase e1 subunit alpha 1 | pyruvate decarboxylation to acetyl-coa | pyruvate decarboxylation to acetyl-coa | pyruvate decarboxylation to acetyl-coa | pyruvate dehydrogenase (acetyl-transferring) activity | pyruvate dehydrogenase (acetyl-transferring) activity | pyruvate dehydrogenase (acetyl-transferring) activity | protein binding | oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"
FNDC1,FNDC1,FNDC1,FNDC1,84624,fibronectin type III domain containing 1,Other / unclear,no keyword match,fibronectin type iii domain containing 1
PSMB8,PSMB8,PSMB8,PSMB8,5696,proteasome 20S subunit beta 8,Ubiquitin–proteasome / protein degradation,proteasom,"proteasome 20s subunit beta 8 | immune system process | proteasomal protein catabolic process | protein catabolic process | positive regulation of type ii interferon production | positive regulation of interleukin-2 production | positive regulation of tumor necrosis factor production | response to type ii interferon | proteasome-mediated ubiquitin-dependent protein catabolic process | proteasome-mediated ubiquitin-dependent protein catabolic process | t-helper 1 cell differentiation | fat cell differentiation | fat cell differentiation | negative regulation of regulatory t cell differentiation | t-helper 17 cell differentiation | cd8-positive, alpha-beta t cell homeostasis | endopeptidase activity | threonine-type endopeptidase activity | protein binding"
COPS5,COPS5,COPS5,COPS5,10987,COP9 signalosome subunit 5,COP9 signalosome / neddylation,cop9 signalosome,cop9 signalosome subunit 5 | protein deneddylation | protein deneddylation | translation | translational initiation | negative regulation of apoptotic process | post-translational protein modification | protein neddylation | positive regulation of transcription by rna polymerase ii | regulation of jnk cascade | regulation of cell cycle | regulation of ire1-mediated unfolded protein response | exosomal secretion | regulation of protein neddylation | transcription coactivator activity | translation initiation factor activity | protein binding | peptidase activity | metallopeptidase activity | metallopeptidase activity | metallopeptidase activity | deneddylase activity | deneddylase activity | enzyme binding | macrophage migration inhibitory factor binding | deubiquitinase activity | metal-dependent deubiquitinase activity | metal-dependent deubiquitinase activity
GDPGP1,GDPGP1,GDPGP1,GDPGP1,390637,GDP-D-glucose phosphorylase 1,Other / unclear,no keyword match,gdp-d-glucose phosphorylase 1 | glucose metabolic process | glucose metabolic process | response to stress | response to stress | gdp-d-glucose phosphorylase activity | gdp-d-glucose phosphorylase activity | gdp-d-glucose phosphorylase activity
XRRA1,XRRA1,XRRA1,XRRA1,143570,X-ray radiation resistance associated 1,Other / unclear,no keyword match,x-ray radiation resistance associated 1 | response to x-ray
