ID,gene,UMI_count
00083_2,ABCG8_P1P2,140
00083_3,ABCG8_P1P2,188
00084_1,ABHD1_P1P2,105
00084_2,ABHD1_P1P2,60
00084_3,ABHD1_P1P2,127
00085_1,ABHD10_P1P2,41
00085_2,ABHD10_P1P2,49
00085_3,ABHD10_P1P2,88
00086_1,ABHD11_P1P2,74
00086_2,ABHD11_P1P2,152
00086_3,ABHD11_P1P2,102
00087_1,ABHD12_P1P2,41
00087_2,ABHD12_P1P2,57
00087_3,ABHD12_P1P2,111
00088_1,ABHD12B_P1P2,170
00088_2,ABHD12B_P1P2,47
00088_3,ABHD12B_P1P2,48
00089_1,ABHD13_P1P2,25
00089_2,ABHD13_P1P2,26
00089_3,ABHD13_P1P2,20
00090_1,ABHD14A_P1P2,43
00090_2,ABHD14A_P1P2,24
00090_3,ABHD14A_P1P2,28
00091_1,ABHD14B_P1,57
00091_2,ABHD14B_P1,78
00091_3,ABHD14B_P1,103
00092_1,ABHD14B_P2,266
00092_2,ABHD14B_P2,58
00092_3,ABHD14B_P2,60
00093_1,ABHD15_P1P2,48
00093_2,ABHD15_P1P2,66
00093_3,ABHD15_P1P2,46
00094_1,ABHD16A_P1P2,74
00094_2,ABHD16A_P1P2,173
00094_3,ABHD16A_P1P2,201
00095_1,ABHD16B_P1P2,77
00095_2,ABHD16B_P1P2,155
00095_3,ABHD16B_P1P2,163
00096_1,ABHD17A_P1P2,151
00096_2,ABHD17A_P1P2,79
00096_3,ABHD17A_P1P2,32
00097_1,ABHD17B_P1P2,43
00097_2,ABHD17B_P1P2,7
00097_3,ABHD17B_P1P2,21
00098_1,ABHD17C_P1P2,102
00098_2,ABHD17C_P1P2,101
00098_3,ABHD17C_P1P2,36
00099_1,ABHD2_P1P2,144
00099_2,ABHD2_P1P2,115
00099_3,ABHD2_P1P2,116
00100_1,ABHD3_P1P2,22
00100_2,ABHD3_P1P2,6
00100_3,ABHD3_P1P2,12
00101_1,ABHD4_P1P2,6
00101_2,ABHD4_P1P2,100
00101_3,ABHD4_P1P2,32
00102_1,ABHD5_P1P2,122
00102_2,ABHD5_P1P2,41
00102_3,ABHD5_P1P2,52
00103_1,ABHD6_P1P2,76
00103_2,ABHD6_P1P2,181
00103_3,ABHD6_P1P2,268
00104_1,ABHD8_P1P2,52
00104_2,ABHD8_P1P2,35
00104_3,ABHD8_P1P2,14
00105_1,ABI1_P1P2,72
00105_2,ABI1_P1P2,40
00105_3,ABI1_P1P2,48
00106_1,ABI2_P1P2,92
00106_2,ABI2_P1P2,49
00106_3,ABI2_P1P2,75
00107_1,ABI3_P1P2,175
00107_2,ABI3_P1P2,57
00107_3,ABI3_P1P2,31
00108_1,ABI3BP_P1P2,174
00108_2,ABI3BP_P1P2,37
00108_3,ABI3BP_P1P2,82
00109_1,ABL1_ENST00000372348.2,171
00109_2,ABL1_ENST00000372348.2,95
