program,Gene,B_lfc,C_lfc,rra_maxfdr,tier,source_row
Transcription / chromatin (likely general),SMARCE1,1.3694,1.6798,0.005522,T1-core,105
Transcription / chromatin (likely general),SMARCC1,1.2355,1.5643,0.000825,T1-core,106
Other / unclear,WDR7,1.1724,1.3316,0.00225,T1-core,107
Other / unclear,LARS,1.3371,1.5327,0.044184,T1-core,108
Spliceosome / RNA processing (likely general),AGO3,1.5021,1.4455,0.009173,T1-core,109
Actin & Rho signaling,ARPC4,1.4285,1.1951,0.029636,T1-core,110
Other / unclear,TPT1,1.3552,1.4404,0.001856,T1-core,111
Spliceosome / RNA processing (likely general),DGCR8,1.354,1.1694,0.003786,T1-core,112
Ubiquitin–proteasome / protein degradation,ASCC3,1.3614,1.1208,0.010689,T1-core,113
Autophagy–secretion & DAMP,PGAM5,1.288,1.3036,0.002785,T1-core,114
Other / unclear,APOBEC2,1.3555,1.3442,0.009767,T1-core,115
Other / unclear,VMA21,1.0673,1.4157,0.00225,T1-core,116
Cytokine / GPCR / surface receptor signaling,RELL2,1.4202,0.90534,0.025955,T1-core,117
Spliceosome / RNA processing (likely general),DICER1,1.2367,1.2809,0.000825,T1-core,118
Spliceosome / RNA processing (likely general),ZPR1,1.0423,1.0964,0.002666,T1-core,119
Transcription / chromatin (likely general),ZNF559,1.2354,1.0569,0.00452,T1-core,120
Polarized exocytosis & fusion,ATP6V1F,1.0866,1.095,0.00495,T1-core,121
Transport — ion channels & solute carriers,SLC35A3,1.0238,1.1159,0.049132,T1-core,122
Other / unclear,CDS2,1.1663,0.99818,0.039427,T1-core,123
Other / unclear,MXRA8,1.0121,1.1711,0.002785,T1-core,124
Membrane-protein biogenesis (ER/GET/ERAD),EMC7,1.0478,1.187,0.000825,T1-core,125
Other / unclear,ANO8,1.157,1.2485,0.007651,T1-core,126
Ubiquitin–proteasome / protein degradation,VPS36,1.2492,0.97473,0.030029,T1-core,127
Polarized exocytosis & fusion,ATP6V1G1,1.0173,1.0705,0.019072,T1-core,128
Polarized exocytosis & fusion,ATP6AP2,0.58546,0.99718,0.029649,T1-core,129
Cytokine / GPCR / surface receptor signaling,SMARCA4,0.84861,1.0648,0.017804,T1-core,130
Polarized exocytosis & fusion,ATP6AP1,1.0956,1.1116,0.000825,T1-core,131
Ubiquitin–proteasome / protein degradation,OTUD7B,1.1515,1.1348,0.005684,T1-core,132
Other / unclear,TEX22,0.87425,0.79026,0.020326,T1-core,133
Transcription / chromatin (likely general),C17orf49,1.1504,1.1488,0.039431,T1-core,134
Other / unclear,TMEM199,1.1169,1.1224,0.000825,T1-core,135
Other / unclear,IPO11,1.1847,0.97212,0.01422,T1-core,136
Other / unclear,XPOT,1.0546,0.99281,0.017654,T1-core,137
Polarized exocytosis & fusion,ATP6V1C1,1.1623,1.0801,0.032612,T1-core,138
Spliceosome / RNA processing (likely general),TCERG1,1.2004,1.0618,0.010689,T1-core,139
Actin & Rho signaling,SRF,0.88984,1.1077,0.03534,T1-core,140
Spliceosome / RNA processing (likely general),TSEN54,1.1924,0.88711,0.014463,T1-core,141
Transport — ion channels & solute carriers,SLC2A8,0.96675,1.0446,0.029364,T1-core,142
Transcription / chromatin (likely general),ZNF71,0.88086,0.91118,0.007651,T1-core,143
Spliceosome / RNA processing (likely general),TSEN2,0.95214,0.98613,0.009767,T1-core,144
Transcription / chromatin (likely general),NUDT5,1.0413,0.71475,0.04637,T1-core,145
Spliceosome / RNA processing (likely general),PRPF38B,1.1038,0.79574,0.027434,T1-core,146
Transcription / chromatin (likely general),MXD1,0.77498,1.0363,0.017073,T1-core,147
Cytokine / GPCR / surface receptor signaling,CARD17,1.0446,0.76901,0.011515,T1-core,148
Spliceosome / RNA processing (likely general),TSEN15,0.97009,0.96948,0.004208,T1-core,149
Antigen processing & presentation (MHC-I),IFI30,0.88864,0.9312,0.004275,T1-core,150
Polarized exocytosis & fusion,VPS8,0.88421,0.94097,0.007651,T1-core,151
Ubiquitin–proteasome / protein degradation,USP8,1.0176,0.90858,0.003182,T1-core,152
Membrane-protein biogenesis (ER/GET/ERAD),EMC2,0.87199,0.93879,0.004125,T1-core,153
Other / unclear,STIM1,0.87116,0.89782,0.010809,T1-core,154
Transcription / chromatin (likely general),NOTCH2,0.70848,0.94946,0.042079,T1-core,155
Ubiquitin–proteasome / protein degradation,UBE2N,0.76577,0.85913,0.025846,T1-core,156
Transport — ion channels & solute carriers,HTR3C,0.85224,0.6882,0.018894,T1-core,157
Membrane lipid remodeling,UGCG,0.87038,0.61441,0.010025,T1-core,158
ER-Golgi / COPII vesicular transport,ZFYVE20,0.71879,0.62638,0.021272,T1-core,159
Other / unclear,CCDC115,0.61764,0.75503,0.029969,T1-core,160
Metabolism / mitochondria (likely general),TMEM186,0.67978,0.79266,0.027668,T1-core,161
Autophagy–secretion & DAMP,EMC6,0.72892,0.70153,0.004744,T1-core,162
Other / unclear,DCLRE1A,0.68602,0.7751,0.006071,T1-core,163
Other / unclear,UFM1,0.64559,0.56074,0.02468,T1-core,164
Ubiquitin–proteasome / protein degradation,KLHL35,0.70701,0.58447,0.017422,T1-core,165
ER-Golgi / COPII vesicular transport,AP3B2,0.66372,0.62263,0.015752,T1-core,166
Metabolism / mitochondria (likely general),MRPS12,0.55853,0.57831,0.046948,T1-core,167
