Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
SEL1L	6400	P1P2	3	-0.73651	-2.6935	0.0011645	0.064516	3	-0.66838	-2.0931	0.0065392	0.2042	-0.80325	-2.5146	0.00098535	0.089069	-0.92679	0.00020568	0.033786	137.0	3.0	0.99993	1.0	22376.0	0.0	-1.2063	4.0697e-05	0.010407	88.0	3.0	0.99999	1.0	22425.0	0.0	-0.0072075574900964	
SLC9A6	10479	P1P2	3	-0.99097	-2.939	8.9578e-05	0.0088889	3	-0.87821	-1.8667	0.00098535	0.070288	-1.0631	-2.2588	8.9578e-05	0.018182	-1.4151	2.9258e-05	0.007316	90.0	3.0	0.99999	1.0	22420.0	0.0	-1.3678	1.9798e-06	0.001013	44.0	3.0	1.0	1.0	22461.0	0.0	0.0803377308684079	surface
TAP1	6890	P1P2	3	-1.1107	-3.1796	8.9578e-05	0.0088889	3	-1.0951	-2.517	0.0	0.0	-1.1235	-2.5763	4.4789e-05	0.010417	-1.3991	0.00012737	0.023689	121.0	3.0	0.99997	1.0	22389.0	0.0	-1.5118	0.00017775	0.031496	127.0	3.0	0.99995	1.0	22387.0	0.0	-0.0475294792035615	
TAP2	6891	P1P2	3	-1.379	-3.5245	0.0	0.0	3	-1.4969	-1.84	0.0	0.0	-1.4139	-1.7324	0.0	0.0	-1.8229	2.0018e-05	0.005702	79.0	3.0	0.99999	1.0	22422.0	0.0	-1.9341	2.3538e-05	0.007063	74.0	3.0	0.99999	1.0	22422.0	0.0	0.3010566368559304	nonsurface
TAPBP	6892	P1P2	3	-1.4059	-3.469	0.0	0.0	3	-1.3697	-2.8487	0.0	0.0	-1.443	-3.0005	0.0	0.0	-2.0352	2.1998e-07	0.000177	15.0	3.0	1.0	1.0	22490.0	0.0	-1.7657	2.1998e-07	0.000198	9.0	3.0	1.0	1.0	22496.0	0.0	-0.0876919252457947	
TMC7	79905	P1P2	3	-1.2006	-2.479	4.4789e-05	0.006135	3	-1.2266	-2.1023	0.0	0.0	-1.1881	-2.0156	4.4789e-05	0.010417	-1.9663	1.2979e-05	0.004359	67.0	3.0	0.95383	1.0	20649.0	0.0	-2.1459	9.8992e-06	0.003481	64.0	3.0	0.99918	1.0	22261.0	0.0	-0.0165159342823684	surface
TRAPPC12	51112	P1P2	3	-0.94992	-2.9823	0.00013437	0.012712	3	-0.93237	-2.4788	0.00053747	0.047431	-0.96323	-2.5608	0.00026873	0.039735	-1.4265	2.1998e-07	0.000177	12.0	3.0	1.0	1.0	22493.0	0.0	-1.3696	2.1998e-07	0.000198	7.0	3.0	1.0	1.0	22498.0	0.0	0.2554948871258078	
TRAPPC13	80006	P1P2	3	-1.0089	-2.8799	8.9578e-05	0.0088889	3	-1.1444	-2.8537	0.0	0.0	-0.88529	-2.2074	0.0004031	0.046632	-1.7435	2.1998e-07	0.000177	28.0	3.0	1.0	1.0	22477.0	0.0	-1.1732	1.1219e-05	0.003768	66.0	3.0	1.0	1.0	22441.0	0.0	-0.0182257093821093	
TRPT1	83707	P1P2	3	-0.71386	-2.3274	0.0015228	0.076577	3	-0.68646	-1.9603	0.005509	0.1848	-0.74363	-2.1235	0.0021051	0.14583	-1.2572	0.00032711	0.046009	159.0	3.0	0.9924	1.0	21847.0	0.0	-1.1837	0.00019952	0.034539	130.0	3.0	0.99994	1.0	22384.0	0.0	-0.1757924865044098	
TSPEAR	54084	P1P2	3	-0.36266	-2.1473	0.038474	0.47564	3	-0.38104	-1.7146	0.049223	0.57246	-0.35299	-1.5883	0.052851	0.57751	-0.63826	4.0697e-05	0.009442	97.0	3.0	0.99273	1.0	21858.0	0.0	-0.4215	6.2695e-05	0.014109	100.0	3.0	0.99998	1.0	22412.0	0.0	0.0843737037396568	
TSSC1	7260	P1P2	3	-0.686	-2.6274	0.0021051	0.094758	3	-0.68516	-2.0501	0.0055538	0.1848	-0.68182	-2.04	0.0036279	0.17802	-0.83718	6.5995e-07	0.000413	31.0	3.0	1.0	1.0	22474.0	0.0	-1.0021	2.1998e-07	0.000198	16.0	3.0	1.0	1.0	22489.0	0.0	0.1314612279435487	
USP30	84749	P1P2	3	-1.5705	-3.7574	0.0	0.0	3	-1.5257	-3.1263	0.0	0.0	-1.6098	-3.297	0.0	0.0	-2.2113	2.1998e-07	0.000177	5.0	3.0	1.0	1.0	22500.0	0.0	-2.4955	2.1998e-07	0.000198	4.0	3.0	1.0	1.0	22501.0	0.0	-0.1995648398066726	nonsurface
WDR44	54521	P1P2	3	-0.51375	-2.3037	0.01057	0.25241	3	-0.58194	-2.3016	0.010794	0.25476	-0.44641	-1.7656	0.025485	0.43769	-0.86482	2.0898e-05	0.005806	81.0	3.0	0.99999	1.0	22428.0	0.0	-0.68633	4.6196e-06	0.001962	53.0	3.0	1.0	1.0	22452.0	0.0	0.0619797997785875	
ZFYVE19	84936	P1P2	3	-1.005	-2.9597	8.9578e-05	0.0088889	3	-1.056	-2.489	4.4789e-05	0.0061728	-0.95438	-2.2492	0.00031352	0.043011	-1.533	1.5619e-05	0.00495	71.0	3.0	1.0	1.0	22436.0	0.0	-1.2424	0.00015069	0.027796	122.0	3.0	0.99996	1.0	22392.0	0.0	-0.0789131685501263	
ZKSCAN1	7586	P1P2	3	-1.376	-3.4448	0.0	0.0	3	-1.2997	-2.9428	0.0	0.0	-1.4664	-3.319	0.0	0.0	-1.9345	5.4996e-06	0.002475	50.0	3.0	1.0	1.0	22455.0	0.0	-2.1215	6.5995e-07	0.000479	29.0	3.0	1.0	1.0	22476.0	0.0	0.0287309697923731	
