Gene,GeneID,Transcript,MLE_sgRNA,MLE_beta,MLE_z,MLE_p-value,MLE_fdr,MLE_S_sgRNA,MLE_B_beta,MLE_B_z,MLE_B_p-value,MLE_B_fdr,MLE_C_beta,MLE_C_z,MLE_C_p-value,MLE_C_fdr,B_lfc,B_neg_p-value,B_neg_fdr,B_neg_rank,B_neg_goodsgrna,B_pos_p-value,B_pos_fdr,B_pos_rank,B_pos_goodsgrna,C_lfc,C_neg_p-value,C_neg_fdr,C_neg_rank,C_neg_goodsgrna,C_pos_p-value,C_pos_fdr,C_pos_rank,C_pos_goodsgrna,DepMap,Surfaceome,Gene_clean,Category
LARS,51520,P1P2,3,0.95503,1.115,0,0,3,0.82737,0.76906,4.031e-4,0.038298,1.0745,0.99864,5.3747e-4,0.056604,1.3371,0.99993,1,22408,0,2.1008e-4,0.044184,107,3,1.5327,0.99999,1,22463,0,2.0458e-5,0.010689,42,3,-1.512657067874306,NA,LARS,pos_sig
SMARCC1,6599,P1P2,3,1.0681,1.0535,0,0,3,0.94737,0.8232,2.6873e-4,0.030928,1.1888,1.033,3.1352e-4,0.043011,1.2355,1,1,22489,0,2.1998e-7,2.36e-4,16,3,1.5643,1,1,22500,0,2.1998e-7,8.25e-4,5,3,-0.0141638332825373,NA,SMARCC1,pos_sig
TPT1,7178,P1P2,3,0.95527,1.1552,0,0,3,0.96585,1.0232,2.2394e-4,0.026455,0.94747,1.0037,8.9578e-4,0.082988,1.3552,1,1,22496,0,2.1998e-7,2.36e-4,9,3,1.4404,1,1,22498,0,6.5995e-7,0.001856,7,3,-1.3256466750333753,NA,TPT1,pos_sig
SMARCB1,6598,P1,3,0.95541,1.1055,0,0,3,0.88885,0.78019,4.031e-4,0.038298,1.0192,0.89397,6.2704e-4,0.0625,1.2623,0.99999,1,22439,0,4.8176e-5,0.01527,71,3,1.5143,1,1,22467,0,1.6939e-5,0.010025,38,3,-0.5603034747513362,NA,SMARCB1,pos_sig
APOBEC2,10930,P1P2,3,0.90851,1.1883,0,0,3,0.90961,0.85852,3.5831e-4,0.037559,0.90936,0.85821,0.0011197,0.097276,1.3555,1,1,22474,0,1.9798e-6,0.00131,32,3,1.3442,1,1,22468,0,1.6059e-5,0.009767,37,3,-0.0930314091908054,NA,APOBEC2,pos_sig
ARPC4,10093,P1P2,3,0.9327,1.1488,0,0,3,1.0317,1.0229,2.2394e-4,0.026455,0.82308,0.81603,0.0016572,0.12759,1.4285,1,1,22497,0,2.1998e-7,2.36e-4,8,3,1.1951,0.99998,1,22432,0,9.7452e-5,0.029636,74,3,-0.4557093099980248,NA,ARPC4,pos_sig
PGAM5,192111,P1P2,3,0.90396,1.188,0,0,3,0.87105,0.84245,4.031e-4,0.038298,0.93741,0.9066,8.9578e-4,0.082988,1.288,1,1,22481,0,6.5995e-7,5.94e-4,24,3,1.3036,1,1,22489,0,1.9798e-6,0.002785,16,3,-0.1454869964934431,NA,PGAM5,pos_sig
DGCR8,54487,P1P2,3,0.92815,1.1613,0,0,3,0.9518,0.95819,2.2394e-4,0.026455,0.91615,0.92228,0.0011197,0.097276,1.354,1,1,22499,0,2.1998e-7,2.36e-4,6,3,1.1694,1,1,22488,0,2.8598e-6,0.003786,17,3,-0.4236851799905263,NA,DGCR8,pos_sig
CD58,965,P1P2,3,-0.7306,-2.6608,0.0012989,0.07056,3,-0.77156,-2.1885,0.0028217,0.13548,-0.68623,-1.9464,0.0035383,0.17753,-1.1853,1.0999e-6,6.51e-4,37,3,1,1,22468,0,-1.0569,5.4996e-6,0.00221,56,3,1,1,22450,0,-0.2038385343923809,surface,CD58,neg_sig
PSMB8,5696,P1P2,3,-0.99556,-3.0274,8.9578e-5,0.0088889,3,-1.0449,-2.6323,4.4789e-5,0.0061728,-0.9386,-2.3634,3.5831e-4,0.043011,-1.5179,3.7397e-6,0.00187,43,3,1,1,22462,0,-1.3161,1.1659e-5,0.003803,68,3,0.99998,1,22410,0,-0.0131925727578202,NA,PSMB8,neg_sig
PSMB9,5698,P1,3,-1.2627,-3.3377,0,0,3,-1.2592,-2.88,0,0,-1.2425,-2.8414,4.4789e-5,0.010417,-1.6642,2.1998e-7,1.77e-4,7,3,1,1,22498,0,-1.8789,2.1998e-7,1.98e-4,6,3,1,1,22499,0,0.1106664445596805,NA,PSMB9,neg_sig
TAP1,6890,P1P2,3,-1.1107,-3.1796,8.9578e-5,0.0088889,3,-1.0951,-2.517,0,0,-1.1235,-2.5763,4.4789e-5,0.010417,-1.3991,1.2737e-4,0.023689,121,3,0.99997,1,22389,0,-1.5118,1.7775e-4,0.031496,127,3,0.99995,1,22387,0,-0.0475294792035615,NA,TAP1,neg_sig
TAP2,6891,P1P2,3,-1.379,-3.5245,0,0,3,-1.4969,-1.84,0,0,-1.4139,-1.7324,0,0,-1.8229,2.0018e-5,0.005702,79,3,0.99999,1,22422,0,-1.9341,2.3538e-5,0.007063,74,3,0.99999,1,22422,0,0.3010566368559304,nonsurface,TAP2,neg_sig
TAPBP,6892,P1P2,3,-1.4059,-3.469,0,0,3,-1.3697,-2.8487,0,0,-1.443,-3.0005,0,0,-2.0352,2.1998e-7,1.77e-4,15,3,1,1,22490,0,-1.7657,2.1998e-7,1.98e-4,9,3,1,1,22496,0,-0.0876919252457947,NA,TAPBP,neg_sig
