Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
LARS	51520	P1P2	3	0.95503	1.115	0.0	0.0	3	0.82737	0.76906	0.0004031	0.038298	1.0745	0.99864	0.00053747	0.056604	1.3371	0.99993	1.0	22408.0	0.0	0.00021008	0.044184	107.0	3.0	1.5327	0.99999	1.0	22463.0	0.0	2.0458e-05	0.010689	42.0	3.0	-1.512657067874306	
MRPS12	6183	P1P2	3	0.38896	1.5677	0.0069423	0.19897	3	0.39101	1.3834	0.010346	0.25054	0.39126	1.3843	0.017199	0.36124	0.55853	0.99996	1.0	22414.0	0.0	0.00015245	0.034307	100.0	3.0	0.57831	0.99994	1.0	22416.0	0.0	0.00018985	0.046948	91.0	3.0	-1.3747005019687748	
MXD1	4084	P1P2	3	0.63729	1.3463	8.9578e-05	0.0088889	3	0.59065	1.0678	0.001478	0.089189	0.68405	1.2367	0.0030456	0.17128	0.77498	0.99998	1.0	22434.0	0.0	5.9175e-05	0.017073	78.0	3.0	1.0363	1.0	1.0	22497.0	0.0	6.5995e-07	0.001856	8.0	3.0	0.1432742566982895	
MXRA8	54587	P1P2	3	0.77767	1.2549	0.0	0.0	3	0.72461	0.92169	0.00058225	0.047445	0.84161	1.0705	0.0015228	0.12143	1.0121	1.0	1.0	22476.0	0.0	1.5399e-06	0.001195	29.0	3.0	1.1711	1.0	1.0	22490.0	0.0	1.9798e-06	0.002785	15.0	3.0	0.0639760867404109	surface
NOTCH2	4853	P1P2	3	0.5579	1.3894	0.0008062	0.050139	3	0.50631	1.0165	0.0032696	0.14837	0.60668	1.218	0.0038966	0.18511	0.70848	0.99994	1.0	22409.0	0.0	0.0001982	0.042079	104.0	3.0	0.94946	0.99995	1.0	22420.0	0.0	0.00015553	0.04023	87.0	3.0	-0.1321472909928773	surface
NUDT5	11164	P1P2	3	0.6259	1.3356	0.00017916	0.015686	3	0.68537	1.1231	0.00067183	0.052083	0.57122	0.936	0.004882	0.21206	1.0413	0.99999	1.0	22444.0	0.0	3.4977e-05	0.011926	66.0	3.0	0.71475	0.99994	1.0	22417.0	0.0	0.00018545	0.04637	90.0	3.0	0.0320252984537157	
OTUD7B	56957	P1P2	3	0.74386	1.2741	0.0	0.0	3	0.77831	0.5667	0.00049268	0.044715	0.72871	0.53058	0.0025082	0.16138	1.1515	0.99999	1.0	22455.0	0.0	9.8992e-06	0.004368	51.0	3.0	1.1348	1.0	1.0	22478.0	0.0	6.8195e-06	0.005684	27.0	3.0	0.172188242898525	
PGAM5	192111	P1P2	3	0.90396	1.188	0.0	0.0	3	0.87105	0.84245	0.0004031	0.038298	0.93741	0.9066	0.00089578	0.082988	1.288	1.0	1.0	22481.0	0.0	6.5995e-07	0.000594	24.0	3.0	1.3036	1.0	1.0	22489.0	0.0	1.9798e-06	0.002785	16.0	3.0	-0.1454869964934431	
PNPLA5	150379	P1P2	3	0.34293	1.5565	0.01272	0.27898	3	0.38001	1.4572	0.011869	0.26633	0.30708	1.1775	0.040937	0.5336	0.67328	0.99949	1.0	22337.0	0.0	0.00023208	0.045814	114.0	3.0	0.44395	0.99998	1.0	22440.0	0.0	6.5775e-05	0.022577	65.0	3.0	0.2186762640848878	
PRPF38B	55119	P1P2	3	0.64477	1.3461	8.9578e-05	0.0088889	3	0.73436	1.1091	0.00058225	0.047445	0.55855	0.84354	0.0051955	0.2197	1.1038	1.0	1.0	22475.0	0.0	1.9798e-06	0.00131	30.0	3.0	0.79574	0.99998	1.0	22434.0	0.0	8.7773e-05	0.027434	72.0	3.0	-1.7519439807813952	
