Gene,MLE_beta,MLE_z,absz,MLE_fdr,rra_maxfdr,B_lfc,C_lfc,tier,origin,DepMap,surface,program,program_evidence,likely_general
MAP3K8,-0.69724,-2.6479,2.6479,0.09205,0.000198,-0.99595,-0.97135,T1-core,new,0.0520043484480038,False,Cytokine / GPCR / surface receptor signaling,mapk cascade,False
ACVR1,-0.72492,-2.6422,2.6422,0.072464,0.014328,-1.2471,-1.0158,T1-core,new,-0.0157354136134668,True,Cytokine / GPCR / surface receptor signaling,growth factor.*signal,False
RABGGTB,-0.71834,-2.6331,2.6331,0.076212,0.016429,-0.98467,-0.96466,T1-core,new,-1.0679800451990054,False,ER-Golgi / COPII vesicular transport,endoplasmic reticulum to golgi,False
ITIH5,-0.69474,-2.6286,2.6286,0.093361,0.00187,-1.0666,-1.0703,T1-core,new,,False,Other / unclear,no keyword match,True
TSSC1,-0.686,-2.6274,2.6274,0.094758,0.000413,-0.83718,-1.0021,T1-core,new,0.1314612279435487,False,Other / unclear,no keyword match,True
TUBGCP4,-0.77579,-2.6267,2.6267,0.051913,0.046009,-1.074,-1.1036,T1-core,new,-1.1087371519601312,False,Other / unclear,no keyword match,True
C17orf72,-0.70556,-2.5951,2.5951,0.083871,0.012271,-1.1905,-1.0539,T1-core,new,-0.0008924310283471,False,Other / unclear,no keyword match,True
ATP11A,-0.66438,-2.5821,2.5821,0.10721,0.010407,-1.1137,-0.94309,T1-core,new,-0.1348717019970747,False,Membrane lipid remodeling,phosphatidylserine,False
KCNQ3,-0.72129,-2.5761,2.5761,0.074766,0.049712,-1.0958,-1.14,T1-core,new,0.0084816501358896,False,Transport — ion channels & solute carriers,ion channel,False
TAF1A,-0.66267,-2.5604,2.5604,0.10721,0.033886,-0.88125,-0.84813,T1-core,new,-0.3188970297788753,False,Transcription / chromatin (likely general),transcription by rna pol,True
MTMR9,-0.60226,-2.5581,2.5581,0.14977,0.000806,-0.92336,-0.82755,T1-core,new,-0.1773261871259159,False,Membrane lipid remodeling,phosphatidylinositol.*(phosphat|kinase),False
FAM204A,-0.6045,-2.5442,2.5442,0.14593,0.007063,-0.90545,-0.83511,T1-core,new,-0.1843527817660092,False,Other / unclear,no keyword match,True
QSOX2,-0.65379,-2.5252,2.5252,0.11324,0.014097,-0.80534,-1.0773,T1-core,new,-0.2061607528363783,True,Other / unclear,no keyword match,True
CRYGB,-0.68189,-2.5094,2.5094,0.096,0.028117,-0.85435,-0.95007,T1-core,new,-0.1290563489762398,False,Other / unclear,no keyword match,True
NFKBID,-0.57968,-2.5086,2.5086,0.18544,0.043344,-0.71882,-0.79969,T1-core,new,0.0814413680819441,False,Other / unclear,no keyword match,True
TMC7,-1.2006,-2.479,2.479,0.006135,0.004359,-1.9663,-2.1459,T1-core,new,-0.0165159342823684,True,Surface sensing & adhesion,mechanosensit,False
LOXL1,-0.53332,-2.4077,2.4077,0.23363,0.037093,-0.7131,-0.79779,T1-core,new,0.0986155038834412,False,Other / unclear,no keyword match,True
RFWD2,-0.55754,-2.4058,2.4058,0.20577,0.010309,-0.73794,-0.87303,T1-core,new,-0.093162815835802,False,Ubiquitin–proteasome / protein degradation,ubiquitin ligase,False
